time,D1,D2
2010-07-25,,
2010-08-01,,
2010-08-08,,
2010-08-15,,
2010-08-22,,
2010-08-29,,
2010-09-05,,
2010-09-12,,
2010-09-19,,
2010-09-26,,
2010-10-03,,
2010-10-10,,
2010-10-17,,
2010-10-24,,
2010-10-31,,
2010-11-07,,
2010-11-14,,
2010-11-21,,
2010-11-28,,
2010-12-05,,
2010-12-12,,
2010-12-19,,
2010-12-26,,
2011-01-02,,
2011-01-09,,
2011-01-16,,
2011-01-23,,
2011-01-30,,
2011-02-06,,
2011-02-13,,
2011-02-20,,
2011-02-27,,
2011-03-06,,
2011-03-13,,
2011-03-20,,
2011-03-27,,
2011-04-03,,
2011-04-10,,
2011-04-17,,
2011-04-24,,
2011-05-01,,
2011-05-08,,
2011-05-15,,
2011-05-22,,
2011-05-29,,
2011-06-05,,
2011-06-12,,
2011-06-19,,
2011-06-26,,
2011-07-03,,
2011-07-10,,
2011-07-17,,
2011-07-24,,
2011-07-31,,
2011-08-07,,
2011-08-14,,
2011-08-21,,
2011-08-28,,
2011-09-04,,
2011-09-11,,
2011-09-18,,
2011-09-25,,
2011-10-02,,
2011-10-09,,
2011-10-16,,
2011-10-23,,
2011-10-30,,
2011-11-06,,
2011-11-13,,
2011-11-20,,
2011-11-27,,
2011-12-04,,
2011-12-11,,
2011-12-18,,
2011-12-25,,
2012-01-01,,
2012-01-08,,
2012-01-15,,
2012-01-22,,
2012-01-29,,
2012-02-05,,
2012-02-12,,
2012-02-19,,
2012-02-26,,
2012-03-04,,
2012-03-11,,
2012-03-18,,
2012-03-25,,
2012-04-01,,
2012-04-08,,
2012-04-15,,
2012-04-22,,
2012-04-29,,
2012-05-06,,
2012-05-13,,
2012-05-20,,
2012-05-27,,
2012-06-03,,
2012-06-10,,
2012-06-17,,
2012-06-24,,
2012-07-01,,
2012-07-08,,
2012-07-15,,
2012-07-22,0.32,0.55
2012-07-29,0.32,0.55
2012-08-05,0.32,0.55
2012-08-12,0.32,0.55
2012-08-19,0.32,0.55
2012-08-26,0.32,0.55
2012-09-02,0.32,0.55
2012-09-09,0.32,0.55
2012-09-16,0.32,0.55
2012-09-23,0.32,0.55
2012-09-30,0.32,0.55
2012-10-07,0.32,0.55
2012-10-14,0.32,0.55
2012-10-21,0.32,0.55
2012-10-28,0.32,0.55
2012-11-04,0.32,0.55
2012-11-11,0.32,0.55
2012-11-18,0.32,0.55
2012-11-25,0.32,0.55
2012-12-02,0.32,0.55
2012-12-09,0.32,0.55
2012-12-16,0.32,0.55
2012-12-23,0.32,0.55
2012-12-30,0.32,0.55
2013-01-06,0.32,0.55
2013-01-13,0.32,0.55
2013-01-20,0.32,0.55
2013-01-27,0.32,0.55
2013-02-03,0.32,0.55
2013-02-10,0.32,0.55
2013-02-17,0.32,0.55
2013-02-24,0.32,0.55
2013-03-03,0.32,0.55
2013-03-10,0.32,0.55
2013-03-17,0.32,0.55
2013-03-24,0.32,0.55
2013-03-31,0.32,0.55
2013-04-07,0.32,0.55
2013-04-14,0.32,0.55
2013-04-21,0.32,0.55
2013-04-28,0.32,0.55
2013-05-05,0.32,0.55
2013-05-12,0.32,0.55
2013-05-19,0.32,0.55
2013-05-26,0.32,0.55
2013-06-02,0.32,0.55
2013-06-09,0.32,0.55
2013-06-16,0.32,0.55
2013-06-23,0.32,0.55
2013-06-30,0.32,0.55
2013-07-07,0.32,0.55
2013-07-14,0.32,0.55
2013-07-21,0.32,0.55
