,CAGR,vol_annualisee,max_drawdown,sharpe,calmar,temps_investi_pct,nb_transactions,valeur_finale,cagr_train_<=2017,cagr_valid_2018_21,cagr_test_2022+
SMA104,0.46101864166597784,0.4480921983422766,-0.5162101651050236,1.017950977191509,0.8930832301068364,0.5508885298869144,15.0,89.16066982506243,0.9939290566908618,0.38685645890307985,0.1607649837223042
SMA112,0.48940867173195013,0.4398333076649768,-0.5162101651050233,1.072335288076787,0.9480802681062657,0.531502423263328,12.0,111.9866942179925,1.2377284597315805,0.34332900185309634,0.14868836206390523
SMA120,0.529549222953775,0.44663966627174356,-0.43015114695995804,1.121825678367691,1.2310770916137295,0.5331179321486268,12.0,153.44720485305498,1.2377284597315805,0.4543326183566341,0.14868836206390545
SMA128,0.5345599904251552,0.45194462681815917,-0.44579352311038944,1.1214245932274616,1.1991201368190023,0.5476575121163166,13.0,159.50792824207133,1.3380137164885064,0.43309657983714644,0.13432460782048183
SMA136,0.5592302067337422,0.4536931976011337,-0.44579352311038944,1.1540954409307138,1.2544601429645785,0.5525040387722132,13.0,192.6716372271373,1.3380137164885064,0.48187681794671366,0.14898329731160498
SMA144,0.5903284456420008,0.4662188273559903,-0.4536556427770855,1.1764052829865708,1.3012699280631956,0.6074313408723748,13.0,243.44361900097724,1.5064119246129786,0.4778072657044281,0.14898329731160498
SMA152,0.6467769898343199,0.4860505691348967,-0.533949167283761,1.2192843334818873,1.2113081721327938,0.6575121163166397,13.0,367.9679538345737,1.551403709416141,0.6011700239960762,0.15778027097324032
SMA160,0.6794540084753937,0.4889079598279281,-0.5263695961137287,1.2556793739042582,1.2908306511088632,0.7011308562197092,13.0,464.3850299442739,1.551403709416141,0.6318341398868599,0.20026239215620212
SMA168,0.6825809482107805,0.48799702902155906,-0.5263695961137287,1.2609112424110889,1.29677122928525,0.6978998384491115,13.0,474.7296553282555,1.551403709416141,0.6067742572531203,0.2233986549605549
SMA176,0.6739669568790889,0.48782088528159434,-0.5263695961137287,1.2505969394896697,1.2804063187826487,0.6946688206785138,12.0,446.7300783946978,1.551403709416141,0.6067742572531203,0.20649632169364796
SMA184,0.6932145426642431,0.48655096612185306,-0.5266147481949728,1.2758017404851196,1.316359910238573,0.6720516962843296,12.0,511.5070906508778,1.6531719481771474,0.6066138719013148,0.20649632169364796
SMA192,0.43113190724146544,0.44275195967285147,-0.5778595294272216,0.9771800956719325,0.7460842735756325,0.617124394184168,9.0,69.80089563376984,1.6602088697090425,0.021751762094799343,0.15111336594244706
SMA200,0.6206859378213598,0.4428944876297068,-0.48227745419739776,1.259454536447837,1.286989330351966,0.5961227786752827,9.0,304.5518818850392,1.6681654159546535,0.4654714662351982,0.1605633305472567
SMA208,0.0637479127919327,0.1885285733073764,-0.37345618571698236,0.31684049467400166,0.1706971667092509,0.2988691437802908,3.0,2.0791042581245653,0.0,0.0,0.18235273258719364
EMA156,0.6273656391032096,0.47484444375553264,-0.4539384317516746,1.2119887868149941,1.382050064988566,0.6365105008077544,13.0,319.75538051414935,1.5026444184111711,0.5015437032840317,0.2068060996136123
EMA104,0.5217892240611544,0.47127898313025346,-0.4561262911089389,1.076509117485111,1.1439577902702673,0.6219709208400647,16.0,144.47618550518166,1.066929473292824,0.4748634013701869,0.19140970879433672
MultiHorizon(52/104/156),0.5252631440445443,0.4596357933807285,-0.4491537124797954,1.0971459064660982,1.1694507458138235,0.5621970920840065,15.0,148.4311281745682,1.1090474529664949,0.5014568898452889,0.1607649837223042
SMA156_ajustee_vol,0.5649582611333346,0.46453038543450265,-0.4536556427770855,1.1442651740244398,1.2453460463423363,0.6025848142164781,13.0,201.22386885540612,1.5064119246129786,0.42916098861306007,0.13391619528891363
KAMA,0.3489774811569917,0.4821960374230165,-0.6510151079111114,0.8131191228905037,0.5360512788662357,0.7447495961227787,31.0,34.65518259635087,1.0804567789066257,0.20481763529776265,0.03739580454823965
RegLogTendance156,0.42483589035134717,0.43676575143539426,-0.6415729085002024,0.9747402195211368,0.6621786623510664,0.5799676898222941,21.0,66.2494071679387,0.9983460135151676,0.30582466366977057,0.1525018949335435
SMA156+filtre_vol,0.6203568898331826,0.473058658430175,-0.4536556427770855,1.2062397344465623,1.3674620821106147,0.630048465266559,13.0,303.8203387691452,1.551403709416141,0.5256921786314681,0.15778027097324054
Buy&Hold,0.5012892496533121,0.6785116097812167,-0.834008471212392,0.906725230189426,0.6010601414210957,1.0,1.0,123.03648308329409,1.441021639046538,0.3332057864694129,0.11934024395270182
