candidate,dataset_period,year,trades,pnl_pts,exp_pts,exp_sg,win_rate
PREFADE-F,NAS100_2026,2026,25,166.373060660786,6.6549224264314395,0.04407884922220228,0.6
PREFADE-F,NAS100_TRAIN,2005,128,74.08697706728162,0.5788045083381377,0.40923147567125995,0.71875
PREFADE-F,NAS100_TRAIN,2006,110,-0.2758437376162419,-0.0025076703419658355,-0.027531517496486937,0.6272727272727273
PREFADE-F,NAS100_TRAIN,2007,95,79.52406170923155,0.8370953864129637,0.2708426150710649,0.7052631578947368
PREFADE-F,NAS100_TRAIN,2008,75,234.74054143241096,3.1298738857654795,0.6559400005289758,0.8
PREFADE-F,NAS100_TRAIN,2009,54,102.93537094732687,1.9062105730986458,0.5485872280301871,0.7592592592592593
PREFADE-F,NAS100_TRAIN,2010,58,60.5308202697106,1.0436348322363898,0.3213280514387563,0.7068965517241379
PREFADE-F,NAS100_TRAIN,2011,49,107.52227338130615,2.1943321098225743,0.4934847656497121,0.7551020408163265
PREFADE-F,NAS100_TRAIN,2012,65,66.8452757019877,1.028388856953657,0.27660110375228564,0.6615384615384615
PREFADE-F,NAS100_TRAIN,2013,70,5.976465718229065,0.08537808168898664,-0.18464562010255256,0.5714285714285714
PREFADE-F,NAS100_TRAIN,2014,77,17.492057041066346,0.2271695719619006,-0.15999455533387616,0.5844155844155844
PREFADE-F,NAS100_VAL,2015,66,138.44447548900507,2.0976435680152283,0.38596622651671064,0.696969696969697
PREFADE-F,NAS100_VAL,2016,44,100.88764946635547,2.2929011242353514,0.20772588626215444,0.6363636363636364
PREFADE-F,NAS100_VAL,2017,70,-35.11941533205936,-0.5017059333151337,-0.19265444210478108,0.5714285714285714
PREFADE-F,NAS100_VAL,2018,40,-31.867584446991714,-0.7966896111747929,-0.007084029483094922,0.625
PREFADE-F,NAS100_vault_2019_20,2019,42,-222.66062246517504,-5.301443392027977,-0.4967289483806677,0.5
PREFADE-F,NAS100_vault_2019_20,2020,14,362.9152506204264,25.922517901459027,0.2828738363242834,0.7142857142857143
PREFADE-F,SPX500_2026,2026,38,-68.53170279780625,-1.8034658631001643,-0.1945257169520363,0.5263157894736842
PREFADE-F,SPX500_TRAIN,2005,101,4.538560939056879,0.044936246921355234,0.14913681146357619,0.693069306930693
PREFADE-F,SPX500_TRAIN,2006,112,34.35971294754904,0.30678315131740214,0.43680099520638777,0.7142857142857143
PREFADE-F,SPX500_TRAIN,2007,106,96.82467082747166,0.9134402908252044,0.518109614642406,0.7641509433962265
PREFADE-F,SPX500_TRAIN,2008,86,224.80822675362003,2.6140491482979074,0.6238089412201623,0.7790697674418605
PREFADE-F,SPX500_TRAIN,2009,65,45.20155409663971,0.6954085245636878,0.30772807240972755,0.7230769230769231
PREFADE-F,SPX500_TRAIN,2010,70,14.923448352164883,0.21319211931664117,0.18518895197998067,0.6428571428571429
PREFADE-F,SPX500_TRAIN,2011,75,-3.5497395149329805,-0.047329860199106406,0.23863071421116874,0.68
PREFADE-F,SPX500_TRAIN,2012,54,20.172084422378475,0.37355711893293475,-0.011001037427727935,0.6111111111111112
PREFADE-F,SPX500_TRAIN,2013,81,12.309536584272792,0.15196958746015793,0.13754490513485043,0.6419753086419753
PREFADE-F,SPX500_TRAIN,2014,87,-10.15857109097783,-0.11676518495376816,-0.1418318253098486,0.5632183908045977
PREFADE-F,SPX500_VAL,2015,64,38.28009623240041,0.5981265036312564,0.050572662084039786,0.59375
PREFADE-F,SPX500_VAL,2016,64,14.070364808766499,0.21984945013697654,-0.05552056380804114,0.5625
PREFADE-F,SPX500_VAL,2017,61,9.172833869403803,0.1503743257279312,0.09506192678284381,0.6065573770491803
PREFADE-F,SPX500_VAL,2018,42,4.796225765748659,0.11419585156544426,-0.20081651183904295,0.5476190476190477
PREFADE-F,SPX500_vault_2019_20,2019,41,-10.187777280821592,-0.24848237270296566,0.05839330439024271,0.6341463414634146
PREFADE-F,SPX500_vault_2019_20,2020,10,41.82620559783891,4.18262055978389,-0.0282022387441331,0.5
PREFADE-S,NAS100_2026,2026,67,988.1188441686209,14.748042450277923,0.09108862238119718,0.6119402985074627
PREFADE-S,NAS100_TRAIN,2005,220,134.1302057431094,0.60968275337777,0.3983715100803922,0.7136363636363636
PREFADE-S,NAS100_TRAIN,2006,232,32.67100693146267,0.14082330573906324,0.07668768050477387,0.6379310344827587
PREFADE-S,NAS100_TRAIN,2007,196,119.21069546407807,0.6082178340003983,0.26227584723608777,0.6938775510204082
PREFADE-S,NAS100_TRAIN,2008,187,272.51885062999986,1.457320056844919,0.34401754946311486,0.7165775401069518
PREFADE-S,NAS100_TRAIN,2009,125,132.35721540147506,1.0588577232118004,0.269258125990694,0.704
PREFADE-S,NAS100_TRAIN,2010,164,42.41228514509294,0.25861149478715206,0.16179142515368528,0.6646341463414634
PREFADE-S,NAS100_TRAIN,2011,133,152.4166404298785,1.1459897776682595,0.28321247571672503,0.6917293233082706
PREFADE-S,NAS100_TRAIN,2012,168,30.19473273798212,0.17973055201179836,0.09514733579693822,0.625
PREFADE-S,NAS100_TRAIN,2013,188,70.51791724859822,0.37509530451382034,0.02993090642138366,0.6223404255319149
PREFADE-S,NAS100_TRAIN,2014,178,203.39300975010883,1.1426573581466788,0.17476739253534004,0.6460674157303371
PREFADE-S,NAS100_VAL,2015,141,264.70644386759295,1.8773506657276096,0.12245643150432836,0.624113475177305
PREFADE-S,NAS100_VAL,2016,128,118.74744906370506,0.9277144458101958,0.03745725561663285,0.59375
PREFADE-S,NAS100_VAL,2017,180,-315.53876003769983,-1.7529931113205546,-0.4002927955458157,0.49444444444444446
PREFADE-S,NAS100_VAL,2018,133,-351.45570659672103,-2.642524109749782,-0.1513445288449409,0.5714285714285714
PREFADE-S,NAS100_vault_2019_20,2019,123,-470.8795509766742,-3.828289032330684,-0.3331904587783368,0.5284552845528455
PREFADE-S,NAS100_vault_2019_20,2020,39,564.2803607192045,14.46872719792832,0.33925207319824296,0.6666666666666666
PREFADE-S,SPX500_2026,2026,87,198.95949504147575,2.2868907476031697,0.11931391835925916,0.5862068965517241
PREFADE-S,SPX500_TRAIN,2005,193,9.893708195825411,0.05126273676593477,0.17418125926311798,0.6683937823834197
PREFADE-S,SPX500_TRAIN,2006,209,29.64280104777299,0.14183158396063633,0.23726935217595674,0.6698564593301436
PREFADE-S,SPX500_TRAIN,2007,198,126.74049290313269,0.6401034995107712,0.2095142987519462,0.6868686868686869
PREFADE-S,SPX500_TRAIN,2008,181,109.90662124615721,0.6072189019124709,0.19427137990471785,0.6629834254143646
PREFADE-S,SPX500_TRAIN,2009,145,70.01777728761397,0.4828812226731998,0.2307302361741855,0.6758620689655173
PREFADE-S,SPX500_TRAIN,2010,157,-19.262940940876433,-0.122693891343162,-0.05844406571519543,0.5732484076433121
PREFADE-S,SPX500_TRAIN,2011,150,-50.009330460358115,-0.33339553640238745,-0.006300765109344957,0.5933333333333334
PREFADE-S,SPX500_TRAIN,2012,148,59.235708216259354,0.4002412717314821,0.20946173130341647,0.6418918918918919
PREFADE-S,SPX500_TRAIN,2013,176,36.645229638397495,0.2082115320363494,0.19927313442662428,0.6420454545454546
PREFADE-S,SPX500_TRAIN,2014,180,52.74661518615517,0.29303675103419535,0.10935100026680353,0.6222222222222222
PREFADE-S,SPX500_VAL,2015,158,92.51810402795513,0.5855576204300957,0.16021718269122015,0.6012658227848101
PREFADE-S,SPX500_VAL,2016,141,-2.2543883237656246,-0.01598856967209663,-0.23146496189163016,0.524822695035461
PREFADE-S,SPX500_VAL,2017,148,8.003885308640747,0.054080306139464504,0.07859750520864224,0.5945945945945946
PREFADE-S,SPX500_VAL,2018,120,36.655731977378764,0.305464433144823,0.02326311300654728,0.5916666666666667
PREFADE-S,SPX500_vault_2019_20,2019,123,-123.39132811379477,-1.0031815293804454,-0.12690329855297108,0.5528455284552846
PREFADE-S,SPX500_vault_2019_20,2020,41,52.53628454925638,1.281372793884302,-0.06398804965223931,0.4878048780487805
