candidate,dataset_period,session_day,pnl_pts
PREFADE-F,NAS100_2026,2026-03-19,-115.32830284481315
PREFADE-F,NAS100_2026,2026-03-25,98.64957126796799
PREFADE-F,NAS100_2026,2026-04-03,16.0
PREFADE-F,NAS100_2026,2026-04-09,-53.099377308386465
PREFADE-F,NAS100_2026,2026-04-10,27.690018563447666
PREFADE-F,NAS100_2026,2026-04-14,-82.91638126076577
PREFADE-F,NAS100_2026,2026-04-15,0.0
PREFADE-F,NAS100_2026,2026-04-22,58.619719630230975
PREFADE-F,NAS100_2026,2026-04-29,-62.88295116757581
PREFADE-F,NAS100_2026,2026-05-11,103.96397598537806
PREFADE-F,NAS100_2026,2026-05-12,131.41480519187098
PREFADE-F,NAS100_2026,2026-05-27,119.24648601366425
PREFADE-F,NAS100_2026,2026-06-03,73.17034730931846
PREFADE-F,NAS100_2026,2026-06-25,135.84995921926384
PREFADE-F,NAS100_2026,2026-07-01,59.265401340653625
PREFADE-F,NAS100_2026,2026-07-09,-203.9084123628345
PREFADE-F,NAS100_2026,2026-07-20,115.79084459137084
PREFADE-F,NAS100_2026,2026-08-06,-131.80706014210955
PREFADE-F,NAS100_2026,2026-08-07,-120.70515167053236
PREFADE-F,NAS100_2026,2026-08-10,53.28280546803944
PREFADE-F,NAS100_2026,2026-08-12,40.10000000000218
PREFADE-F,NAS100_2026,2026-08-13,-67.27195016073892
PREFADE-F,NAS100_2026,2026-08-14,47.51871299733466
PREFADE-F,NAS100_2026,2026-09-11,-76.27000000000044
PREFADE-F,NAS100_TRAIN,2005-01-12,3.8529185877039254
PREFADE-F,NAS100_TRAIN,2005-01-27,3.013883297688153
PREFADE-F,NAS100_TRAIN,2005-01-28,2.0
PREFADE-F,NAS100_TRAIN,2005-02-01,2.0057113161153666
PREFADE-F,NAS100_TRAIN,2005-02-02,-0.0945341425051538
PREFADE-F,NAS100_TRAIN,2005-02-03,-0.4533630406701832
PREFADE-F,NAS100_TRAIN,2005-02-07,1.0
PREFADE-F,NAS100_TRAIN,2005-02-10,1.162445411697945
PREFADE-F,NAS100_TRAIN,2005-02-16,0.9667828606952753
PREFADE-F,NAS100_TRAIN,2005-02-17,-0.14359713972567079
PREFADE-F,NAS100_TRAIN,2005-02-23,-2.9001110451704335
PREFADE-F,NAS100_TRAIN,2005-02-25,2.453377627930422
PREFADE-F,NAS100_TRAIN,2005-03-01,-5.800315841725251
PREFADE-F,NAS100_TRAIN,2005-03-02,-0.12262864396984696
PREFADE-F,NAS100_TRAIN,2005-03-08,2.0598555209098777
PREFADE-F,NAS100_TRAIN,2005-03-10,1.4128063756973006
PREFADE-F,NAS100_TRAIN,2005-03-16,-6.39274527193993
PREFADE-F,NAS100_TRAIN,2005-03-18,1.0
PREFADE-F,NAS100_TRAIN,2005-03-21,1.5059829120623363
PREFADE-F,NAS100_TRAIN,2005-03-22,-7.016749792603832
PREFADE-F,NAS100_TRAIN,2005-03-28,2.900000000000091
PREFADE-F,NAS100_TRAIN,2005-04-04,2.5
PREFADE-F,NAS100_TRAIN,2005-04-05,2.5
PREFADE-F,NAS100_TRAIN,2005-04-06,1.8555372784207975
PREFADE-F,NAS100_TRAIN,2005-04-07,-3.410436815750927
PREFADE-F,NAS100_TRAIN,2005-04-08,3.5
PREFADE-F,NAS100_TRAIN,2005-04-12,3.2641914047226237
PREFADE-F,NAS100_TRAIN,2005-04-13,1.0
PREFADE-F,NAS100_TRAIN,2005-04-19,2.9663547218801796
PREFADE-F,NAS100_TRAIN,2005-04-25,-3.030075973334988
PREFADE-F,NAS100_TRAIN,2005-04-28,2.9977528171784797
PREFADE-F,NAS100_TRAIN,2005-05-05,2.0
PREFADE-F,NAS100_TRAIN,2005-05-06,-0.19405651523129563
PREFADE-F,NAS100_TRAIN,2005-05-10,2.3983428054575597
PREFADE-F,NAS100_TRAIN,2005-05-12,5.532802144869265
PREFADE-F,NAS100_TRAIN,2005-05-13,1.3999999999998636
PREFADE-F,NAS100_TRAIN,2005-05-16,0.7960526218539599
PREFADE-F,NAS100_TRAIN,2005-05-18,2.0242564138998205
PREFADE-F,NAS100_TRAIN,2005-05-19,0.8368474165358748
PREFADE-F,NAS100_TRAIN,2005-05-23,2.1264775176421153
PREFADE-F,NAS100_TRAIN,2005-05-24,2.5720858908869104
PREFADE-F,NAS100_TRAIN,2005-05-27,1.0112612623352106
PREFADE-F,NAS100_TRAIN,2005-06-03,1.5
PREFADE-F,NAS100_TRAIN,2005-06-06,-2.5
PREFADE-F,NAS100_TRAIN,2005-06-09,3.0
PREFADE-F,NAS100_TRAIN,2005-06-14,1.7111111272465678
PREFADE-F,NAS100_TRAIN,2005-06-23,0.9414965814473817
PREFADE-F,NAS100_TRAIN,2005-06-29,3.4438514896446577
PREFADE-F,NAS100_TRAIN,2005-06-30,2.0669224394555386
PREFADE-F,NAS100_TRAIN,2005-07-06,-2.0561230802798036
PREFADE-F,NAS100_TRAIN,2005-07-13,-0.6027931093954066
PREFADE-F,NAS100_TRAIN,2005-07-15,2.5
PREFADE-F,NAS100_TRAIN,2005-07-19,1.0
PREFADE-F,NAS100_TRAIN,2005-07-21,6.5
PREFADE-F,NAS100_TRAIN,2005-07-22,-4.418835312240844
PREFADE-F,NAS100_TRAIN,2005-07-27,2.052777756524847
PREFADE-F,NAS100_TRAIN,2005-07-28,0.6651264908291523
PREFADE-F,NAS100_TRAIN,2005-07-29,3.0088637225951516
PREFADE-F,NAS100_TRAIN,2005-08-02,2.184120444070686
PREFADE-F,NAS100_TRAIN,2005-08-03,1.246802323432803
PREFADE-F,NAS100_TRAIN,2005-08-05,2.94051642084014
PREFADE-F,NAS100_TRAIN,2005-08-09,-4.533421821223328
PREFADE-F,NAS100_TRAIN,2005-08-11,1.2242641249249573
PREFADE-F,NAS100_TRAIN,2005-08-12,-2.637429288432486
PREFADE-F,NAS100_TRAIN,2005-08-26,-0.6362849845661458
PREFADE-F,NAS100_TRAIN,2005-08-30,-3.9687350862416224
PREFADE-F,NAS100_TRAIN,2005-09-07,-2.072250848697422
PREFADE-F,NAS100_TRAIN,2005-09-08,1.0362214243371
PREFADE-F,NAS100_TRAIN,2005-09-15,0.2728937589204179
PREFADE-F,NAS100_TRAIN,2005-09-21,3.954256842198447
PREFADE-F,NAS100_TRAIN,2005-09-22,2.17348993488622
PREFADE-F,NAS100_TRAIN,2005-09-23,2.128629015530123
PREFADE-F,NAS100_TRAIN,2005-10-03,1.5521052285243968
PREFADE-F,NAS100_TRAIN,2005-10-07,-3.4008706638546755
PREFADE-F,NAS100_TRAIN,2005-10-10,2.5
PREFADE-F,NAS100_TRAIN,2005-10-12,-3.325240902301175
PREFADE-F,NAS100_TRAIN,2005-10-14,-2.7594757122265037
PREFADE-F,NAS100_TRAIN,2005-10-18,3.5
PREFADE-F,NAS100_TRAIN,2005-10-24,1.8324431294856822
PREFADE-F,NAS100_TRAIN,2005-10-26,-3.547758939676214
PREFADE-F,NAS100_TRAIN,2005-10-28,2.0221609752259155
PREFADE-F,NAS100_TRAIN,2005-10-31,2.5
PREFADE-F,NAS100_TRAIN,2005-11-01,2.5
PREFADE-F,NAS100_TRAIN,2005-11-04,1.7809759717426914
PREFADE-F,NAS100_TRAIN,2005-11-07,1.3748622703158162
PREFADE-F,NAS100_TRAIN,2005-11-08,2.7773946715497004
PREFADE-F,NAS100_TRAIN,2005-11-09,2.9191616483792586
PREFADE-F,NAS100_TRAIN,2005-11-10,2.7080540880554054
PREFADE-F,NAS100_TRAIN,2005-11-18,-2.434967941202558
PREFADE-F,NAS100_TRAIN,2005-11-24,-2.0
PREFADE-F,NAS100_TRAIN,2005-11-25,-2.676983452518698
PREFADE-F,NAS100_TRAIN,2005-11-29,-0.26560324247543576
PREFADE-F,NAS100_TRAIN,2005-12-02,3.790111959515116
PREFADE-F,NAS100_TRAIN,2005-12-06,0.43828571694234597
PREFADE-F,NAS100_TRAIN,2005-12-07,1.7155555287997686
PREFADE-F,NAS100_TRAIN,2005-12-13,-1.5737981208972087
PREFADE-F,NAS100_TRAIN,2005-12-20,2.4790509858064524
PREFADE-F,NAS100_TRAIN,2005-12-22,-2.417387194939465
PREFADE-F,NAS100_TRAIN,2005-12-23,2.9163187136680335
PREFADE-F,NAS100_TRAIN,2006-01-04,-8.748131466132918
PREFADE-F,NAS100_TRAIN,2006-01-05,2.8999999999998636
PREFADE-F,NAS100_TRAIN,2006-01-06,6.799843637304775
PREFADE-F,NAS100_TRAIN,2006-01-12,1.4995049710321382
PREFADE-F,NAS100_TRAIN,2006-01-19,1.4268801417065333
PREFADE-F,NAS100_TRAIN,2006-01-30,1.5
PREFADE-F,NAS100_TRAIN,2006-01-31,1.2485171655741851
PREFADE-F,NAS100_TRAIN,2006-02-01,-4.220121322426166
PREFADE-F,NAS100_TRAIN,2006-02-03,-4.616675300531369
PREFADE-F,NAS100_TRAIN,2006-02-09,0.9501118298346682
PREFADE-F,NAS100_TRAIN,2006-02-16,1.0
PREFADE-F,NAS100_TRAIN,2006-02-17,-2.6196171524986767
PREFADE-F,NAS100_TRAIN,2006-02-22,2.851162806539378
PREFADE-F,NAS100_TRAIN,2006-02-24,2.7782359893378725
PREFADE-F,NAS100_TRAIN,2006-02-27,1.3242152795662605
PREFADE-F,NAS100_TRAIN,2006-03-02,-2.8033070532669626
PREFADE-F,NAS100_TRAIN,2006-03-03,-4.862991514621399
PREFADE-F,NAS100_TRAIN,2006-03-10,3.6104492860154096
PREFADE-F,NAS100_TRAIN,2006-03-13,-5.340074925742101
PREFADE-F,NAS100_TRAIN,2006-03-15,-2.323942731547959
PREFADE-F,NAS100_TRAIN,2006-03-16,-2.5
PREFADE-F,NAS100_TRAIN,2006-03-17,2.642577005968633
PREFADE-F,NAS100_TRAIN,2006-03-21,1.78604650016905
PREFADE-F,NAS100_TRAIN,2006-03-24,1.7777777799853993
PREFADE-F,NAS100_TRAIN,2006-03-30,-3.333686878733488
PREFADE-F,NAS100_TRAIN,2006-04-04,-0.9040099665560319
PREFADE-F,NAS100_TRAIN,2006-04-05,-4.2072472709876365
PREFADE-F,NAS100_TRAIN,2006-04-06,0.8711500908200378
PREFADE-F,NAS100_TRAIN,2006-04-07,-2.0197683271633196
PREFADE-F,NAS100_TRAIN,2006-04-13,1.8393939406184927
PREFADE-F,NAS100_TRAIN,2006-04-17,2.76916996179375
PREFADE-F,NAS100_TRAIN,2006-04-19,1.2176172375225178
PREFADE-F,NAS100_TRAIN,2006-04-21,1.0304394289612446
PREFADE-F,NAS100_TRAIN,2006-04-24,2.422406626440079
PREFADE-F,NAS100_TRAIN,2006-04-28,2.9803957852864187
PREFADE-F,NAS100_TRAIN,2006-05-01,-1.652146753606985
