n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
3360,0.4043499109941768,0.07656187208832907,1.132833876096859,1.0696262241123444,0.5142857142857142,9,10,0.5,3,2.0,180,"(240, 810)"
2574,0.5493447275488207,0.1225812617659685,1.1686499176153713,1.2477976205180483,0.5275835275835276,8,10,0.5,3,2.0,180,"(450, 810)"
1924,0.4384513303128475,0.08871812094061679,1.1242336370778951,0.9064062619473722,0.514033264033264,8,10,0.5,3,2.0,180,"(570, 810)"
1476,0.24490262171560548,0.07995865251567212,1.0712172067442878,0.5198297688216676,0.5088075880758808,7,10,0.5,3,2.0,180,"(570, 690)"
3355,0.4092361350461953,0.08177166441904582,1.1290254457992441,1.052508864371846,0.5216095380029806,9,10,0.5,3,2.0,240,"(240, 810)"
2574,0.5131187116315498,0.11745719329576616,1.1511841909420197,1.133965198838968,0.5303030303030303,8,10,0.5,3,2.0,240,"(450, 810)"
1924,0.3810610360292109,0.0810390033040858,1.1026192228355174,0.7603159277328787,0.5171517671517671,8,10,0.5,3,2.0,240,"(570, 810)"
1476,0.24402597262993556,0.0794761352992777,1.0684788889174983,0.5054297889775776,0.5203252032520326,6,10,0.5,3,2.0,240,"(570, 690)"
3353,0.4192550960754323,0.08424863437518279,1.1301114835038082,1.0619478387338754,0.524903071875932,9,10,0.5,3,2.0,300,"(240, 810)"
2574,0.5305827104492303,0.12097160837323885,1.1545017756831932,1.1598825222729225,0.5322455322455323,8,10,0.5,3,2.0,300,"(450, 810)"
1924,0.40752127746792266,0.08637695147705393,1.1082635184355265,0.8031633446536,0.5207900207900208,8,10,0.5,3,2.0,300,"(570, 810)"
1476,0.24716949320369155,0.08060868437472234,1.0681083914587126,0.50571921824747,0.521680216802168,7,10,0.5,3,2.0,300,"(570, 690)"
3221,0.36407323977916667,0.08275837443730726,1.1130148800058992,0.8826539488379,0.5625582117354859,8,10,0.5,3,2.5,180,"(240, 810)"
2475,0.5227255392173039,0.13245000992763645,1.1512923089144782,1.0955743890380012,0.5757575757575758,9,10,0.5,3,2.5,180,"(450, 810)"
1854,0.388748358226683,0.093981965477477,1.1036520739769922,0.7410882475821419,0.558252427184466,7,10,0.5,3,2.5,180,"(570, 810)"
1433,0.19097573923889477,0.07835308677165227,1.0517338641653335,0.37333030679399287,0.5547801814375436,7,10,0.5,3,2.5,180,"(570, 690)"
3212,0.3663920423954035,0.0873303778164934,1.1085647345930454,0.8592328138571314,0.5762764632627646,9,10,0.5,3,2.5,240,"(240, 810)"
2475,0.5044293353116964,0.1314554188846898,1.140112005509898,1.026117489192081,0.5846464646464646,9,10,0.5,3,2.5,240,"(450, 810)"
1854,0.3504337601050333,0.09126428086427596,1.0886270739337434,0.6428671062163248,0.56957928802589,7,10,0.5,3,2.5,240,"(570, 810)"
1433,0.21344068782576311,0.08480693720078031,1.0558355364019132,0.4040793001112998,0.5736217725052338,6,10,0.5,3,2.5,240,"(570, 690)"
3210,0.36561170828555783,0.08741497265785395,1.1061157842476899,0.8434082848840575,0.5803738317757009,8,10,0.5,3,2.5,300,"(240, 810)"
2475,0.5081622259329054,0.13275684613062289,1.1388150729178068,1.0224644680139336,0.5874747474747475,9,10,0.5,3,2.5,300,"(450, 810)"
1854,0.3535759653418703,0.09285249990352286,1.0877182443502083,0.6396764972039238,0.5722761596548004,6,10,0.5,3,2.5,300,"(570, 810)"
1433,0.18615149406044212,0.08189164870135453,1.0475156194188615,0.3467251698286904,0.5736217725052338,6,10,0.5,3,2.5,300,"(570, 690)"
3139,0.35820726459429836,0.08007821144157665,1.107597215733755,0.8115804885046455,0.5950939789741956,6,10,0.5,3,3.0,180,"(240, 810)"
2418,0.5040577288107189,0.11719991614827861,1.1409210174136502,0.9925279426755607,0.6058726220016543,7,10,0.5,3,3.0,180,"(450, 810)"
1814,0.40649056649839055,0.09051430476759217,1.1054716050726514,0.7283562233079415,0.5882028665931642,6,10,0.5,3,3.0,180,"(570, 810)"
1404,0.16967468402709154,0.07260091567482244,1.0443628727050975,0.3170432484328468,0.5868945868945868,6,10,0.5,3,3.0,180,"(570, 690)"
3127,0.3928308237779416,0.09371316294655524,1.1134167144982174,0.8576444129915071,0.6152862168212344,8,10,0.5,3,3.0,240,"(240, 810)"
2418,0.5105263813869064,0.11996797416074319,1.1376634482754098,0.9751351291505014,0.6174524400330852,8,10,0.5,3,3.0,240,"(450, 810)"
1814,0.39317186975571666,0.09083073495916576,1.097267617229122,0.6777689901075266,0.6030871003307607,5,10,0.5,3,3.0,240,"(570, 810)"
1404,0.2401457454568473,0.08616450229171149,1.0613417628161823,0.4377200458268281,0.6111111111111112,6,10,0.5,3,3.0,240,"(570, 690)"
3124,0.3952617645843831,0.09665816271576316,1.1117215082614307,0.8485873478790891,0.6235595390524968,9,10,0.5,3,3.0,300,"(240, 810)"
2418,0.5127884665931435,0.12080109333328792,1.1358140713363711,0.9690277181020591,0.6224152191894128,6,10,0.5,3,3.0,300,"(450, 810)"
1814,0.382365488307508,0.09000865820728751,1.0924291201679548,0.6490507022677733,0.6080485115766262,6,10,0.5,3,3.0,300,"(570, 810)"
1404,0.21956087534183902,0.08400853634067665,1.0547229911886409,0.3933406193050804,0.613960113960114,5,10,0.5,3,3.0,300,"(570, 690)"
