n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
3072,0.352287436210908,0.12662225341675454,1.21459853215704,1.6126118565455265,0.5247395833333334,8,10,0.5,3,2.0,180,"(240, 810)"
2229,0.3864602846005928,0.1409276900863589,1.2145800289867876,1.5121652008310347,0.5262449528936743,8,10,0.5,3,2.0,180,"(450, 810)"
1617,0.24132615748581984,0.0911612213337524,1.1231201778715456,0.8470614869160018,0.5095856524427953,7,10,0.5,3,2.0,180,"(570, 810)"
1168,0.23984713522072926,0.1305174724496415,1.1275494099352075,0.8357010538447032,0.5205479452054794,6,10,0.5,3,2.0,180,"(570, 690)"
3068,0.3396997243340728,0.12835756885221278,1.1951680422920445,1.4957231263785338,0.5280312907431551,8,10,0.5,3,2.0,240,"(240, 810)"
2228,0.3414441689832375,0.13111917335789508,1.1789011647883123,1.2863605303239027,0.5228904847396768,8,10,0.5,3,2.0,240,"(450, 810)"
1616,0.19795204460741478,0.08374971518135588,1.0945677720635152,0.6603104348604586,0.5068069306930693,7,10,0.5,3,2.0,240,"(570, 810)"
1168,0.14667201503767205,0.11232388421749766,1.0722273259205004,0.48762721986263635,0.5179794520547946,6,10,0.5,3,2.0,240,"(570, 690)"
3066,0.3139037255039668,0.12048683636499166,1.1751166234801875,1.355565448625933,0.5290280495759948,8,10,0.5,3,2.0,300,"(240, 810)"
2228,0.31239688970081797,0.12478732273972394,1.1594244191168082,1.159431961495496,0.5255834829443446,8,10,0.5,3,2.0,300,"(450, 810)"
1616,0.16040115352272918,0.07532921439099663,1.0743859412727166,0.5256309060135274,0.5086633663366337,7,10,0.5,3,2.0,300,"(570, 810)"
1168,0.09348722293882412,0.10118707699124806,1.0443327372119058,0.30317561959687067,0.5188356164383562,6,10,0.5,3,2.0,300,"(570, 690)"
2958,0.3872339282507809,0.14967086948859343,1.2256613721163745,1.6360575524511844,0.5720081135902637,9,10,0.5,3,2.5,180,"(240, 810)"
2155,0.49103478937685185,0.1916573711414448,1.2653968835077802,1.7568796911707918,0.5805104408352668,9,10,0.5,3,2.5,180,"(450, 810)"
1563,0.35452857652396946,0.14146556888555184,1.1770012455451568,1.1544951732009343,0.5598208573256558,7,10,0.5,3,2.5,180,"(570, 810)"
1139,0.2943918265076383,0.1782575003825135,1.1508308279906954,0.954259619303072,0.5715539947322212,8,10,0.5,3,2.5,180,"(570, 690)"
2954,0.3484513050254783,0.1431402908868583,1.1883911791788084,1.3957933161794889,0.5785375761679079,8,10,0.5,3,2.5,240,"(240, 810)"
