candidate,instrument,split,t_signal,t_entry,t_exit,side,entry,exit,reason,pnl_pts,gross_pts,mae,mfe,bars_held,session_day,sigma_entry
M2-CTX,SPX500,VAL,2015-01-02 15:36:00+00:00,2015-01-02 15:37:00+00:00,2015-01-02 16:10:00+00:00,1,2059.0,2050.950102249442,stop,-8.049897750558102,-8.049897750558102,9.599999999999909,0.0,34,2015-01-02,3.219959100223247
M2-CTX,SPX500,VAL,2015-01-05 14:38:00+00:00,2015-01-05 14:39:00+00:00,2015-01-05 14:54:00+00:00,1,2041.4,2034.3169577563317,stop,-7.0830422436683875,-7.0830422436683875,7.600000000000136,1.0,16,2015-01-05,2.83321689746738
M2-CTX,SPX500,VAL,2015-01-06 15:28:00+00:00,2015-01-06 15:29:00+00:00,2015-01-06 15:43:00+00:00,-1,2028.6,2022.5226237538434,target,6.077376246156518,6.077376246156518,0.0,7.199999999999818,15,2015-01-06,2.6565342984154268
M2-CTX,SPX500,VAL,2015-01-06 15:59:00+00:00,2015-01-06 16:00:00+00:00,2015-01-06 16:23:00+00:00,1,2014.8,2007.6,stop,-7.2000000000000455,-7.2000000000000455,7.599999999999909,0.0,24,2015-01-06,2.849991188622592
M2-CTX,SPX500,VAL,2015-01-08 16:05:00+00:00,2015-01-08 16:06:00+00:00,2015-01-08 20:11:00+00:00,-1,2059.2,2062.2,time,-3.0,-3.0,4.600000000000364,4.799999999999727,240,2015-01-08,7.050560211609549
M2-CTX,SPX500,VAL,2015-01-09 15:30:00+00:00,2015-01-09 15:31:00+00:00,2015-01-09 19:30:00+00:00,1,2046.6,2043.4,time,-3.199999999999818,-3.199999999999818,9.799999999999955,3.400000000000091,240,2015-01-09,4.234283601669184
M2-CTX,SPX500,VAL,2015-01-12 14:38:00+00:00,2015-01-12 14:39:00+00:00,2015-01-12 15:02:00+00:00,1,2033.4,2021.0015219506079,stop,-12.398478049392224,-12.398478049392224,13.0,0.3999999999998636,24,2015-01-12,4.959391219756922
M2-CTX,SPX500,VAL,2015-01-13 14:31:00+00:00,2015-01-13 14:32:00+00:00,2015-01-13 17:20:00+00:00,-1,2046.4,2043.3577486676966,target,3.042251332303522,3.042251332303522,10.400000000000091,3.2000000000000455,168,2015-01-13,5.027202547068126
M2-CTX,SPX500,VAL,2015-01-16 14:34:00+00:00,2015-01-16 14:35:00+00:00,2015-01-16 17:44:00+00:00,-1,1994.9,2005.8142606606214,stop,-10.914260660621267,-10.914260660621267,12.5,8.900000000000091,190,2015-01-16,4.365704264248479
M2-CTX,SPX500,VAL,2015-01-16 17:51:00+00:00,2015-01-16 17:52:00+00:00,2015-01-16 21:14:00+00:00,-1,2008.6,2016.6,sess_end,-8.0,-8.0,10.600000000000136,6.5,201,2015-01-16,7.761440930238398
M2-CTX,SPX500,VAL,2015-01-20 14:49:00+00:00,2015-01-20 14:50:00+00:00,2015-01-20 16:47:00+00:00,1,2012.0,2002.1701672132724,stop,-9.829832786727593,-9.829832786727593,10.0,4.2000000000000455,118,2015-01-20,3.9319331146910543
M2-CTX,SPX500,VAL,2015-01-21 14:33:00+00:00,2015-01-21 14:34:00+00:00,2015-01-21 14:36:00+00:00,1,2010.2,2018.561804185337,target,8.36180418533695,8.36180418533695,0.40000000000009095,8.399999999999864,3,2015-01-21,3.176339088238365
M2-CTX,SPX500,VAL,2015-01-21 14:40:00+00:00,2015-01-21 14:41:00+00:00,2015-01-21 14:47:00+00:00,-1,2027.0,2019.1551989629922,target,7.844801037007755,7.844801037007755,1.400000000000091,8.200000000000045,7,2015-01-21,3.3809474762660647
M2-CTX,SPX500,VAL,2015-01-21 15:49:00+00:00,2015-01-21 15:50:00+00:00,2015-01-21 18:35:00+00:00,-1,2031.6,2024.0872031328634,target,7.512796867136558,7.512796867136558,5.2000000000000455,7.7999999999999545,166,2015-01-21,3.74394657467175
M2-CTX,SPX500,VAL,2015-01-23 14:40:00+00:00,2015-01-23 14:41:00+00:00,2015-01-23 15:57:00+00:00,1,2054.0,2059.1994864313738,target,5.199486431373771,5.199486431373771,3.199999999999818,5.400000000000091,77,2015-01-23,2.5775989562944996
M2-CTX,SPX500,VAL,2015-01-28 15:43:00+00:00,2015-01-28 15:44:00+00:00,2015-01-28 19:01:00+00:00,1,2027.8,2034.9714440603548,target,7.1714440603548155,7.1714440603548155,7.7999999999999545,7.400000000000091,198,2015-01-28,4.703657591603229
M2-CTX,SPX500,VAL,2015-01-29 15:40:00+00:00,2015-01-29 15:41:00+00:00,2015-01-29 16:38:00+00:00,1,1990.2,1996.9053723313511,target,6.7053723313511,6.7053723313511,4.2000000000000455,7.0,58,2015-01-29,3.292141247791844
M2-CTX,SPX500,VAL,2015-02-02 15:00:00+00:00,2015-02-02 15:01:00+00:00,2015-02-02 16:03:00+00:00,1,1984.6,1991.8455947610573,target,7.2455947610574185,7.2455947610574185,7.199999999999818,9.600000000000136,63,2015-02-02,3.2008169292637096
M2-CTX,SPX500,VAL,2015-02-09 14:50:00+00:00,2015-02-09 14:51:00+00:00,2015-02-09 15:23:00+00:00,-1,2053.0,2048.6169021418846,target,4.383097858115434,4.383097858115434,1.599999999999909,4.800000000000182,33,2015-02-09,2.386050958518253
M2-CTX,SPX500,VAL,2015-02-11 18:28:00+00:00,2015-02-11 18:29:00+00:00,2015-02-11 18:57:00+00:00,1,2059.0,2063.6861330047377,target,4.686133004737712,4.686133004737712,1.599999999999909,5.400000000000091,29,2015-02-11,2.306166071530881
M2-CTX,SPX500,VAL,2015-02-16 16:26:00+00:00,2015-02-16 16:27:00+00:00,2015-02-16 16:56:00+00:00,-1,2094.8,2092.8123258167525,target,1.987674183247691,1.987674183247691,1.3999999999996362,2.800000000000182,19,2015-02-16,0.9512240578634519
M2-CTX,SPX500,VAL,2015-02-16 17:25:00+00:00,2015-02-16 17:26:00+00:00,2015-02-16 17:59:00+00:00,1,2088.4,2089.0,sess_end,0.599999999999909,0.599999999999909,2.200000000000273,2.599999999999909,34,2015-02-16,1.5437706725501856
M2-CTX,SPX500,VAL,2015-02-17 18:18:00+00:00,2015-02-17 18:19:00+00:00,2015-02-17 21:56:00+00:00,-1,2100.0,2099.8,eod,0.1999999999998181,0.1999999999998181,1.0,4.0,172,2015-02-17,3.0482439044065925
M2-CTX,SPX500,VAL,2015-02-19 16:34:00+00:00,2015-02-19 16:35:00+00:00,2015-02-19 17:35:00+00:00,-1,2099.8,2094.9896351223265,target,4.810364877673692,4.810364877673692,1.7999999999997272,5.400000000000091,57,2015-02-19,2.2593331096157065
M2-CTX,SPX500,VAL,2015-02-20 14:40:00+00:00,2015-02-20 14:41:00+00:00,2015-02-20 15:39:00+00:00,1,2088.0,2092.8602839956397,target,4.8602839956397474,4.8602839956397474,3.400000000000091,5.400000000000091,59,2015-02-20,2.5201954879044064
M2-CTX,SPX500,VAL,2015-02-25 14:45:00+00:00,2015-02-25 14:46:00+00:00,2015-02-25 15:31:00+00:00,1,2111.6,2113.441385565732,target,1.8413855657322529,1.8413855657322529,0.7999999999997272,2.200000000000273,45,2015-02-25,0.9993813606273609
M2-CTX,SPX500,VAL,2015-02-27 14:37:00+00:00,2015-02-27 14:38:00+00:00,2015-02-27 14:42:00+00:00,-1,2110.2,2108.9741431056773,target,1.2258568943225328,1.2258568943225328,0.8000000000001819,2.0,5,2015-02-27,0.7559575681212647
M2-CTX,SPX500,VAL,2015-03-02 15:11:00+00:00,2015-03-02 15:12:00+00:00,2015-03-02 19:45:00+00:00,-1,2112.2,2111.0,time,1.199999999999818,1.199999999999818,1.800000000000182,3.599999999999909,240,2015-03-02,2.0692918333058494
M2-CTX,SPX500,VAL,2015-03-03 14:49:00+00:00,2015-03-03 14:50:00+00:00,2015-03-03 16:34:00+00:00,1,2106.4,2100.911521839195,stop,-5.4884781608052435,-5.4884781608052435,7.200000000000273,1.7999999999997272,104,2015-03-03,2.195391264322114
M2-CTX,SPX500,VAL,2015-03-03 16:42:00+00:00,2015-03-03 16:43:00+00:00,2015-03-03 19:10:00+00:00,1,2098.2,2106.308275987388,target,8.10827598738797,8.10827598738797,1.199999999999818,8.600000000000364,139,2015-03-03,3.9466079638757154
M2-CTX,SPX500,VAL,2015-03-04 14:44:00+00:00,2015-03-04 14:45:00+00:00,2015-03-04 16:15:00+00:00,1,2090.6,2095.2,target,4.599999999999909,4.599999999999909,3.799999999999727,4.800000000000182,91,2015-03-04,3.692421676730856
M2-CTX,SPX500,VAL,2015-03-09 13:31:00+00:00,2015-03-09 13:32:00+00:00,2015-03-09 17:29:00+00:00,-1,2074.2,2079.2008393329165,stop,-5.000839332916712,-5.000839332916712,5.200000000000273,2.799999999999727,223,2015-03-09,2.0003357331667333
M2-CTX,SPX500,VAL,2015-03-12 13:36:00+00:00,2015-03-12 13:37:00+00:00,2015-03-12 15:18:00+00:00,-1,2053.4,2060.6,stop,-7.199999999999818,-7.199999999999818,7.799999999999727,0.40000000000009095,102,2015-03-12,2.8511228753243527
M2-CTX,SPX500,VAL,2015-03-13 14:54:00+00:00,2015-03-13 14:55:00+00:00,2015-03-13 18:56:00+00:00,1,2048.8,2043.4,time,-5.400000000000091,-5.400000000000091,8.000000000000227,1.3999999999996362,240,2015-03-13,4.3639525151802605
M2-CTX,SPX500,VAL,2015-03-17 15:16:00+00:00,2015-03-17 15:17:00+00:00,2015-03-17 16:42:00+00:00,1,2066.4,2071.4553045127723,target,5.055304512772182,5.055304512772182,2.0,5.400000000000091,86,2015-03-17,2.522474942221995
M2-CTX,SPX500,VAL,2015-03-19 15:52:00+00:00,2015-03-19 15:53:00+00:00,2015-03-19 20:01:00+00:00,1,2085.8,2089.4,time,3.599999999999909,3.599999999999909,1.0,6.799999999999727,240,2015-03-19,5.088617546738543
M2-CTX,SPX500,VAL,2015-03-24 13:41:00+00:00,2015-03-24 13:42:00+00:00,2015-03-24 13:59:00+00:00,1,2098.8,2103.538154083365,target,4.738154083364861,4.738154083364861,0.6000000000003638,4.799999999999727,18,2015-03-24,1.823346029817349
M2-CTX,SPX500,VAL,2015-03-25 13:30:00+00:00,2015-03-25 13:31:00+00:00,2015-03-25 13:36:00+00:00,-1,2096.2,2092.5274490667243,target,3.672550933275488,3.672550933275488,0.8000000000001819,4.0,6,2015-03-25,1.1828780851171223
M2-CTX,SPX500,VAL,2015-03-25 15:17:00+00:00,2015-03-25 15:18:00+00:00,2015-03-25 15:34:00+00:00,1,2086.4,2081.112134793068,stop,-5.287865206932111,-5.287865206932111,5.400000000000091,1.199999999999818,17,2015-03-25,2.115146082772801
M2-CTX,SPX500,VAL,2015-03-25 16:22:00+00:00,2015-03-25 16:23:00+00:00,2015-03-25 20:48:00+00:00,1,2072.6,2062.0,time,-10.599999999999909,-10.599999999999909,12.799999999999727,1.800000000000182,240,2015-03-25,6.240798472338001
M2-CTX,SPX500,VAL,2015-04-02 13:49:00+00:00,2015-04-02 13:50:00+00:00,2015-04-02 16:00:00+00:00,-1,2066.0,2062.806094075439,target,3.1939059245610224,3.1939059245610224,5.400000000000091,3.599999999999909,131,2015-04-02,3.2253840296949177
M2-CTX,SPX500,VAL,2015-04-06 13:32:00+00:00,2015-04-06 13:33:00+00:00,2015-04-06 13:36:00+00:00,-1,2055.2,2059.7521872649727,stop,-4.552187264972872,-4.552187264972872,5.0,0.0,4,2015-04-06,1.8208749059891312
M2-CTX,SPX500,VAL,2015-04-06 14:17:00+00:00,2015-04-06 14:18:00+00:00,2015-04-06 18:54:00+00:00,-1,2071.0,2085.4,time,-14.400000000000091,-14.400000000000091,15.400000000000091,1.199999999999818,240,2015-04-06,6.456592532145589
M2-CTX,SPX500,VAL,2015-04-07 13:46:00+00:00,2015-04-07 13:47:00+00:00,2015-04-07 14:04:00+00:00,-1,2086.6,2081.4,target,5.199999999999818,5.199999999999818,0.20000000000027285,5.799999999999727,18,2015-04-07,2.595297155214313
M2-CTX,SPX500,VAL,2015-04-08 13:34:00+00:00,2015-04-08 13:35:00+00:00,2015-04-08 14:39:00+00:00,-1,2081.6,2078.698137907833,target,2.9018620921669935,2.9018620921669935,4.800000000000182,3.0,65,2015-04-08,2.1135223510269108
M2-CTX,SPX500,VAL,2015-04-09 13:35:00+00:00,2015-04-09 13:36:00+00:00,2015-04-09 13:50:00+00:00,-1,2086.6,2080.8841353452294,target,5.715864654770485,5.715864654770485,0.20000000000027285,6.599999999999909,15,2015-04-09,2.7231613206200485
M2-CTX,SPX500,VAL,2015-04-09 15:21:00+00:00,2015-04-09 15:22:00+00:00,2015-04-09 15:43:00+00:00,1,2074.6,2080.0281945639767,target,5.428194563976831,5.428194563976831,0.40000000000009095,5.599999999999909,22,2015-04-09,2.7539708960162357
M2-CTX,SPX500,VAL,2015-04-10 14:36:00+00:00,2015-04-10 14:37:00+00:00,2015-04-10 18:55:00+00:00,-1,2097.6,2101.9263501255436,stop,-4.32635012554374,-4.32635012554374,4.400000000000091,0.7999999999997272,192,2015-04-10,1.7305400502174209
M2-CTX,SPX500,VAL,2015-04-20 13:47:00+00:00,2015-04-20 13:48:00+00:00,2015-04-20 18:23:00+00:00,-1,2099.2,2098.8,time,0.3999999999996362,0.3999999999996362,3.400000000000091,3.799999999999727,240,2015-04-20,2.9562651784854483
M2-CTX,SPX500,VAL,2015-04-23 14:02:00+00:00,2015-04-23 14:03:00+00:00,2015-04-23 16:36:00+00:00,-1,2107.8,2115.351687050919,stop,-7.551687050918645,-7.551687050918645,7.599999999999909,6.400000000000091,149,2015-04-23,3.020674820367409
M2-CTX,SPX500,VAL,2015-04-24 16:32:00+00:00,2015-04-24 16:34:00+00:00,2015-04-24 18:57:00+00:00,-1,2119.0,2114.242674826769,target,4.757325173231038,4.757325173231038,0.40000000000009095,5.0,119,2015-04-24,2.047803125322537
M2-CTX,SPX500,VAL,2015-04-28 14:03:00+00:00,2015-04-28 14:04:00+00:00,2015-04-28 14:13:00+00:00,1,2100.6,2095.603343439001,stop,-4.996656560998872,-4.996656560998872,5.599999999999909,0.8000000000001819,10,2015-04-28,1.9986626243996042
M2-CTX,SPX500,VAL,2015-04-30 13:51:00+00:00,2015-04-30 13:52:00+00:00,2015-04-30 15:05:00+00:00,1,2093.2,2096.3216699430427,target,3.121669943042889,3.121669943042889,5.199999999999818,4.400000000000091,74,2015-04-30,2.4136983207501546
M2-CTX,SPX500,VAL,2015-05-01 13:30:00+00:00,2015-05-01 13:31:00+00:00,2015-05-01 14:41:00+00:00,-1,2095.2,2093.0202080341514,target,2.1797919658483806,2.1797919658483806,4.200000000000273,2.599999999999909,71,2015-05-01,2.354294086652123
M2-CTX,SPX500,VAL,2015-05-05 15:05:00+00:00,2015-05-05 15:06:00+00:00,2015-05-05 18:31:00+00:00,1,2098.6,2089.607029562784,stop,-8.992970437215718,-8.992970437215718,9.400000000000091,1.800000000000182,205,2015-05-05,3.597188174886278
M2-CTX,SPX500,VAL,2015-05-06 13:42:00+00:00,2015-05-06 13:43:00+00:00,2015-05-06 14:09:00+00:00,1,2084.0,2077.7439073204505,stop,-6.256092679549511,-6.256092679549511,8.599999999999909,0.1999999999998181,27,2015-05-06,2.5024370718197386
M2-CTX,SPX500,VAL,2015-05-13 15:00:00+00:00,2015-05-13 15:01:00+00:00,2015-05-13 19:12:00+00:00,1,2096.6,2098.2,time,1.599999999999909,1.599999999999909,0.599999999999909,6.800000000000182,240,2015-05-13,2.7101333680153243
M2-CTX,SPX500,VAL,2015-05-15 14:01:00+00:00,2015-05-15 14:02:00+00:00,2015-05-15 18:16:00+00:00,1,2117.8,2118.8,time,1.0,1.0,1.6000000000003638,4.0,240,2015-05-15,1.9615342639858675
