candidate,instrument,split,year,n,exp_sg,pnl_pts
M2-BASE,NAS100,TRAIN,2005,348,0.213,173.9446
M2-BASE,NAS100,TRAIN,2006,361,0.231,148.6129
M2-BASE,NAS100,TRAIN,2007,296,0.3108,357.2546
M2-BASE,NAS100,TRAIN,2008,265,0.0568,36.6483
M2-BASE,NAS100,TRAIN,2009,245,0.0986,117.3633
M2-BASE,NAS100,TRAIN,2010,243,0.1038,154.6935
M2-BASE,NAS100,TRAIN,2011,198,-0.0859,-43.0902
M2-BASE,NAS100,TRAIN,2012,258,0.0764,-42.3398
M2-BASE,NAS100,TRAIN,2013,298,0.121,81.7259
M2-BASE,NAS100,TRAIN,2014,325,0.1004,323.3435
M2-BASE,NAS100,VAL,2015,248,0.1685,412.3446
M2-BASE,NAS100,VAL,2016,242,-0.0629,-174.701
M2-BASE,NAS100,VAL,2017,292,0.0664,-61.1031
M2-BASE,NAS100,VAL,2018,241,-0.1405,-425.4225
M2-BASE,SPX500,TRAIN,2005,316,0.2834,123.2639
M2-BASE,SPX500,TRAIN,2006,276,-0.0493,-7.2897
M2-BASE,SPX500,TRAIN,2007,236,0.0734,84.9204
M2-BASE,SPX500,TRAIN,2008,215,-0.0157,-18.746
M2-BASE,SPX500,TRAIN,2009,182,0.0072,20.7002
M2-BASE,SPX500,TRAIN,2010,194,0.335,152.7953
M2-BASE,SPX500,TRAIN,2011,134,0.1511,67.3017
M2-BASE,SPX500,TRAIN,2012,185,-0.1016,-63.024
M2-BASE,SPX500,TRAIN,2013,245,0.0554,-2.7368
M2-BASE,SPX500,TRAIN,2014,265,0.1343,150.037
M2-BASE,SPX500,VAL,2015,207,0.1759,40.2891
M2-BASE,SPX500,VAL,2016,221,0.0852,47.6339
M2-BASE,SPX500,VAL,2017,252,-0.0536,-34.7102
M2-BASE,SPX500,VAL,2018,249,0.0239,69.63
M2-CTX,NAS100,TRAIN,2005,98,0.1268,15.1283
M2-CTX,NAS100,TRAIN,2006,141,0.4156,130.7798
M2-CTX,NAS100,TRAIN,2007,151,0.386,301.7829
M2-CTX,NAS100,TRAIN,2008,180,0.1101,116.6877
M2-CTX,NAS100,TRAIN,2009,162,0.0621,2.8625
M2-CTX,NAS100,TRAIN,2010,165,0.0924,165.6268
M2-CTX,NAS100,TRAIN,2011,133,-0.1619,-91.134
M2-CTX,NAS100,TRAIN,2012,183,0.0032,-73.071
M2-CTX,NAS100,TRAIN,2013,195,-0.0467,-43.3943
M2-CTX,NAS100,TRAIN,2014,217,-0.0315,209.0612
M2-CTX,NAS100,VAL,2015,198,0.1046,300.197
M2-CTX,NAS100,VAL,2016,189,-0.0723,-169.277
M2-CTX,NAS100,VAL,2017,214,0.1203,-17.919
M2-CTX,NAS100,VAL,2018,193,-0.0901,-40.0583
M2-CTX,SPX500,TRAIN,2005,89,0.4787,60.7057
M2-CTX,SPX500,TRAIN,2006,98,0.2254,44.4823
M2-CTX,SPX500,TRAIN,2007,113,0.3311,125.7313
M2-CTX,SPX500,TRAIN,2008,157,-0.073,-52.2604
M2-CTX,SPX500,TRAIN,2009,112,0.0623,15.1573
M2-CTX,SPX500,TRAIN,2010,113,0.5943,169.6102
M2-CTX,SPX500,TRAIN,2011,81,0.2091,79.5094
M2-CTX,SPX500,TRAIN,2012,117,-0.3515,-102.4228
M2-CTX,SPX500,TRAIN,2013,135,0.156,5.7983
M2-CTX,SPX500,TRAIN,2014,166,0.2023,135.6414
M2-CTX,SPX500,VAL,2015,148,-0.0848,-48.2264
M2-CTX,SPX500,VAL,2016,159,0.1168,44.6379
M2-CTX,SPX500,VAL,2017,153,-0.0898,-23.6957
M2-CTX,SPX500,VAL,2018,197,0.0697,38.4356
