candidate,instrument,split,t_entry,side,mae,mfe,pnl_pts
M2-CTX,SPX500,VAL,2015-01-02 15:37:00+00:00,1,9.599999999999909,0.0,-8.049897750558102
M2-CTX,SPX500,VAL,2015-01-05 14:39:00+00:00,1,7.600000000000136,1.0,-7.0830422436683875
M2-CTX,SPX500,VAL,2015-01-06 15:29:00+00:00,-1,0.0,7.199999999999818,6.077376246156518
M2-CTX,SPX500,VAL,2015-01-06 16:00:00+00:00,1,7.599999999999909,0.0,-7.2000000000000455
M2-CTX,SPX500,VAL,2015-01-08 16:06:00+00:00,-1,4.600000000000364,4.799999999999727,-3.0
M2-CTX,SPX500,VAL,2015-01-09 15:31:00+00:00,1,9.799999999999955,3.400000000000091,-3.199999999999818
M2-CTX,SPX500,VAL,2015-01-12 14:39:00+00:00,1,13.0,0.3999999999998636,-12.398478049392224
M2-CTX,SPX500,VAL,2015-01-13 14:32:00+00:00,-1,10.400000000000091,3.2000000000000455,3.042251332303522
M2-CTX,SPX500,VAL,2015-01-16 14:35:00+00:00,-1,12.5,8.900000000000091,-10.914260660621267
M2-CTX,SPX500,VAL,2015-01-16 17:52:00+00:00,-1,10.600000000000136,6.5,-8.0
M2-CTX,SPX500,VAL,2015-01-20 14:50:00+00:00,1,10.0,4.2000000000000455,-9.829832786727593
M2-CTX,SPX500,VAL,2015-01-21 14:34:00+00:00,1,0.40000000000009095,8.399999999999864,8.36180418533695
M2-CTX,SPX500,VAL,2015-01-21 14:41:00+00:00,-1,1.400000000000091,8.200000000000045,7.844801037007755
M2-CTX,SPX500,VAL,2015-01-21 15:50:00+00:00,-1,5.2000000000000455,7.7999999999999545,7.512796867136558
M2-CTX,SPX500,VAL,2015-01-23 14:41:00+00:00,1,3.199999999999818,5.400000000000091,5.199486431373771
M2-CTX,SPX500,VAL,2015-01-28 15:44:00+00:00,1,7.7999999999999545,7.400000000000091,7.1714440603548155
M2-CTX,SPX500,VAL,2015-01-29 15:41:00+00:00,1,4.2000000000000455,7.0,6.7053723313511
M2-CTX,SPX500,VAL,2015-02-02 15:01:00+00:00,1,7.199999999999818,9.600000000000136,7.2455947610574185
