candidate,instrument,hour_et,n,exp_sg
M2-BASE,NAS100,9,1497,0.1003
M2-BASE,NAS100,10,1267,0.1198
M2-BASE,NAS100,11,581,0.0417
M2-BASE,NAS100,12,364,0.1229
M2-BASE,NAS100,13,151,0.1765
M2-BASE,SPX500,9,994,0.0411
M2-BASE,SPX500,10,1118,0.1619
M2-BASE,SPX500,11,559,0.0085
M2-BASE,SPX500,12,360,0.0436
M2-BASE,SPX500,13,146,0.0829
M2-CTX,NAS100,9,817,0.0427
M2-CTX,NAS100,10,761,0.0696
M2-CTX,NAS100,11,422,0.0075
M2-CTX,NAS100,12,293,0.1491
M2-CTX,NAS100,13,126,0.1441
M2-CTX,SPX500,9,519,-0.0691
M2-CTX,SPX500,10,598,0.2342
M2-CTX,SPX500,11,359,0.1755
M2-CTX,SPX500,12,247,0.0783
M2-CTX,SPX500,13,115,0.128
