slope_q,side,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
Q1_dn,-1,7212,0.3908763172490294,0.5813921242373822,0.7495840266222962,36.0,0.5912449463265022,0.20761538137294247,1.587295227213359,1.756116033357417
Q1_dn,1,169,0.6923076923076923,0.8402366863905325,0.8816568047337278,13.0,0.5798816568047337,0.12435380358222466,3.2071278321375725,3.3918229354404237
Q2,-1,7135,0.24274702172389628,0.41051156271899086,0.5992992291520672,54.0,0.6111599297012302,0.15905109291628208,1.1913748524578116,1.3068731414389998
Q2,1,246,0.6544715447154471,0.7764227642276422,0.8943089430894309,13.5,0.5894308943089431,0.15147949385952453,2.749355854664909,3.2637305405651604
Q3_flat,-1,3143,0.2558065542475342,0.39739102768055995,0.5590200445434298,47.0,0.6402266288951841,0.06209644063825935,1.253258659863307,1.2548864825426993
Q3_flat,1,4237,0.20179372197309417,0.33089450082605615,0.49067736606089213,56.0,0.6562244619994552,0.015088891275396634,1.0836312381268014,1.0215576299652835
Q4,-1,206,0.6601941747572816,0.8058252427184466,0.8883495145631068,16.0,0.6359223300970874,-0.004312736064701701,3.028424783100515,2.9561479387974936
Q4,1,7175,0.2253658536585366,0.39010452961672476,0.582020905923345,57.0,0.6261398176291794,0.11598788789617935,1.2241140313433803,1.2298805452343056
Q5_up,-1,166,0.7108433734939759,0.8253012048192772,0.9457831325301205,13.0,0.5783132530120482,0.10624020342485928,3.1037592527822997,2.9688420865702065
Q5_up,1,7215,0.38198198198198197,0.5693693693693693,0.7370755370755371,37.0,0.6054840514829323,0.16937989694113198,1.7054573037393235,1.7065372595757908
