tod,side,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
00-04,-1,3022,0.3755790866975513,0.5655195234943746,0.7491727332892124,38.0,0.5747011952191236,0.254113969148755,1.4684974180270773,1.836630721035381
00-04,1,3629,0.32267842380821166,0.5155690272802425,0.693855056489391,45.0,0.6188228761799001,0.13575347667826096,1.6557559186787734,1.6043304146226829
04-08,-1,2532,0.18759873617693523,0.37480252764612954,0.6236176935229067,74.0,0.5969793322734499,0.20742693395339978,1.1164427013547105,1.2156346386247674
04-08,1,2841,0.15522703273495247,0.3199577613516367,0.5747976064765927,82.0,0.6255772646536412,0.12850714973409663,1.128967881161141,1.0579645551133448
08-0930,-1,1215,0.35390946502057613,0.6551440329218107,0.8707818930041152,40.0,0.5662251655629139,0.2737838239261463,1.573116332806845,1.937415191968533
08-0930,1,1407,0.3404406538734897,0.6027007818052594,0.8592750533049041,44.0,0.5652173913043478,0.28649568845183815,1.4929867410320636,1.8726666484785603
0930-10,-1,1454,0.5557083906464925,0.6822558459422283,0.7647867950481431,17.0,0.5798898071625345,0.2386142872819257,1.9313547727313634,2.3900558561013456
0930-10,1,1470,0.5156462585034014,0.6346938775510204,0.7244897959183674,19.0,0.6105769230769231,0.14605338842519017,1.775552610713714,2.14616038020161
10-1030,-1,1084,0.33025830258302585,0.507380073800738,0.6346863468634686,36.0,0.6180297397769516,0.13450475968804776,1.4905449847078833,1.6390666251901882
10-1030,1,1051,0.291151284490961,0.46622264509990485,0.5832540437678402,36.0,0.6242718446601941,0.11365921669712002,1.2654593663883784,1.4263864712249494
1030-1130,-1,1143,0.14085739282589677,0.28346456692913385,0.46194225721784776,74.0,0.666365280289331,-0.0031911123133311174,1.2080925164140037,1.062073091409199
1030-1130,1,1086,0.13720073664825047,0.2569060773480663,0.4171270718232044,71.0,0.6332350049164208,0.08540134061700522,0.9692991961061627,0.9826554330900577
1130-13,-1,856,0.07827102803738317,0.17990654205607476,0.397196261682243,92.0,0.6355828220858896,0.08433891231620924,0.883966122567048,0.9216610020560025
1130-13,1,863,0.03707995365005794,0.13673232908458866,0.3603707995365006,99.0,0.6658291457286433,0.0026374811510513994,0.7744193612651056,0.7803014385951653
13-15,-1,1131,0.08222811671087533,0.19363395225464192,0.3731211317418214,67.0,0.6866125760649088,-0.055396324831114216,0.9351747248724591,0.9048213285209078
13-15,1,1038,0.06069364161849711,0.17726396917148363,0.3371868978805395,68.0,0.6694214876033058,-0.022044319196651212,0.8040099021446266,0.7769977059046312
15-16,-1,582,0.08075601374570447,0.13058419243986255,0.14776632302405499,30.0,0.7608695652173914,-0.2978044580921048,0.7838869443822702,0.6581182464564314
15-16,1,548,0.04927007299270073,0.12226277372262774,0.14963503649635038,41.0,0.736,-0.204736781401763,0.6561306429075364,0.6821671804104679
16-17,-1,151,0.019867549668874173,0.019867549668874173,0.019867549668874173,12.0,0.9393939393939394,-0.8533508279217803,0.5003774349394675,0.35037023983385684
16-17,1,209,0.06220095693779904,0.07177033492822966,0.07177033492822966,8.0,0.75,-0.3049513800059064,0.3509654693614711,0.31014005255171284
17-24,-1,4692,0.43307757885763,0.6184995737425405,0.7883631713554987,34.0,0.603082851637765,0.16518903244492347,1.8764590715038072,1.913759356931787
17-24,1,4900,0.42183673469387756,0.5975510204081632,0.7536734693877551,33.0,0.6209230769230769,0.11079213721101484,2.0122109643819277,1.8479966909238652
