level,side,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
1.0,-1,30776,0.5646282817780088,0.7037626722121133,0.814238367559137,18.0,0.45314467492875604,0.09832267182364925,1.3978406521910094,1.5680484439923639
1.0,1,32310,0.5225936242649335,0.6638192510058806,0.781553698545342,20.0,0.47360096169055077,0.054150099013308604,1.4320266758975935,1.4017782224961453
1.5,-1,26050,0.41915547024952016,0.5884452975047985,0.7356621880998081,31.0,0.5363104184795506,0.1516729521226974,1.3625594256844562,1.5121829139321532
1.5,1,28296,0.3811139383658468,0.5425855244557535,0.6941263782866837,34.0,0.5581881533101045,0.09457302521407215,1.357983954665047,1.3698240221260258
2.0,-1,17862,0.31401858694435114,0.48561191355951183,0.6594446310603516,43.0,0.6076059777868232,0.16091956687341588,1.3853460016450097,1.488578530235987
2.0,1,19042,0.2891502993383048,0.4538388824703287,0.6271400063018591,46.0,0.623160447555531,0.11716689020430658,1.3655782745148675,1.3509802142985983
2.5,-1,8884,0.24583520936515083,0.4185051778478163,0.6135749662314273,54.0,0.6534700129609992,0.18875653137802323,1.4471719900831959,1.5414879324325015
2.5,1,9591,0.23574184130956105,0.3978730059430716,0.5780419142946512,54.0,0.6677992108724243,0.14530067914792727,1.4611534063735947,1.3892982413011905
3.0,-1,3233,0.19672131147540983,0.36405815032477573,0.5617073925146923,60.0,0.6976135992154299,0.18190567733798954,1.5299095827884999,1.5879723602060256
3.0,1,3461,0.19907541173071366,0.3536550130020225,0.5368390638543773,60.0,0.7160268129189519,0.10828674683572367,1.6219118076206158,1.4811135731121348
