slope_q,side,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
Q1_dn,-1,8829,0.4127307735870427,0.5966700645599728,0.7527466304224714,33.0,0.6149732620320856,0.12563856018917496,1.6607455602180443,1.7611444565671759
Q1_dn,1,224,0.7901785714285714,0.8705357142857143,0.9285714285714286,8.5,0.6026785714285714,0.05340127198223023,3.264718594598329,3.1865913930587046
Q2,-1,8817,0.23511398434841782,0.4022910286945673,0.6012249064307588,56.0,0.6018201158255525,0.17176200411339618,1.1573847872667447,1.2888775943114186
Q2,1,236,0.6949152542372882,0.8135593220338984,0.923728813559322,13.0,0.614406779661017,0.11953729811516264,2.7948536434115576,3.196377997082652
Q3_flat,-1,4166,0.25108017282765244,0.39774363898223714,0.5720115218434949,48.0,0.6376086383987358,0.05010648282262667,1.281700694593483,1.223319087954658
Q3_flat,1,4886,0.21653704461727385,0.3483422022103971,0.5038886614817847,53.0,0.6628451099672438,-0.01756694824094457,1.1158050531324273,1.081156197428618
Q4,-1,253,0.6837944664031621,0.7944664031620553,0.8932806324110671,11.0,0.6719367588932806,-0.09593842210994788,2.883094899306575,3.0712312041934933
Q4,1,8800,0.21943181818181817,0.37931818181818183,0.5693181818181818,59.0,0.6271648873072361,0.10214680551420756,1.1743431196445777,1.2036015115970382
Q5_up,-1,230,0.7565217391304347,0.8652173913043478,0.9391304347826087,9.0,0.5130434782608696,0.34726636250537357,3.377960346673204,3.414941126626393
Q5_up,1,8823,0.3877365975291851,0.5673807095092372,0.7447580188144622,37.0,0.6194599521476587,0.10910188983888329,1.7197406007884284,1.664460694999455
