tod,side,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
00-04,-1,3815,0.34626474442988203,0.544954128440367,0.727129750982962,42.0,0.5894266175697002,0.19793612019089166,1.4828014647361323,1.6944960622928378
00-04,1,4536,0.30930335097001765,0.48500881834215165,0.6783509700176367,47.0,0.6275770339170915,0.09316882592795031,1.5328858378977985,1.5012843929762099
04-08,-1,3172,0.1746532156368222,0.349936948297604,0.5854350567465322,76.0,0.6016571064372211,0.17285434296601115,1.0530907311581337,1.2106917125668346
04-08,1,3231,0.14546580006190035,0.2999071494893222,0.5478180129990715,91.0,0.6168077767325181,0.14222344676812285,1.057071073415004,1.017582960706641
08-0930,-1,1291,0.2447714949651433,0.4949651432997676,0.7753679318357862,51.0,0.6153846153846154,0.12359583105082525,1.4203307882781167,1.4741968665074006
08-0930,1,1405,0.27402135231316727,0.5395017793594306,0.8042704626334519,48.0,0.5901287553648069,0.22102055693990375,1.3005799821059076,1.7142912947777467
0930-10,-1,1144,0.4571678321678322,0.6118881118881119,0.7298951048951049,25.0,0.6031606672519754,0.164141493452291,1.6274756785488016,1.9471678785262891
0930-10,1,1024,0.41796875,0.5380859375,0.6650390625,25.0,0.6261040235525025,0.10061030441726086,1.662760722797084,1.7492621005723135
10-1030,-1,1018,0.28978388998035365,0.48526522593320237,0.637524557956778,42.0,0.6049504950495049,0.16567132892706626,1.3142004291359695,1.5476489546213958
10-1030,1,929,0.27879440258342303,0.44671689989235736,0.5758880516684607,42.0,0.6019845644983461,0.18240265370566297,1.0789445063135163,1.3598326484601668
1030-1130,-1,1136,0.17869718309859156,0.3230633802816901,0.5035211267605634,65.0,0.5981735159817352,0.19620046758040746,0.9962530132750472,1.152949074897914
1030-1130,1,1035,0.12270531400966184,0.22995169082125605,0.3748792270531401,89.0,0.6659919028340081,-0.012171180543103973,1.0378067501940975,0.8829798565856813
1130-13,-1,910,0.056043956043956046,0.15714285714285714,0.3978021978021978,96.0,0.6371061843640606,0.08179065663297841,0.9103364338252427,0.8818564721096216
1130-13,1,881,0.05221339387060159,0.16345062429057888,0.36095346197502837,98.0,0.6401985111662531,0.06749909276276427,0.7499347306085218,0.7482002715726769
13-15,-1,1193,0.07544006705783739,0.17937971500419111,0.3671416596814753,68.0,0.6928982725527831,-0.08860675571157538,1.0240116428827937,0.9050446113564532
13-15,1,1180,0.08983050847457627,0.18220338983050846,0.338135593220339,64.0,0.6923076923076923,-0.09585825389112743,0.843482199315495,0.8021545971695025
15-16,-1,629,0.06995230524642289,0.1287758346581876,0.13195548489666137,29.0,0.7818181818181819,-0.35726790939333697,0.7445827921030177,0.6035590521152017
15-16,1,705,0.07092198581560284,0.14184397163120568,0.16028368794326242,35.0,0.7125748502994012,-0.14779648437546908,0.6687801375137877,0.6817638870696003
16-17,-1,137,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,24.0,0.9444444444444444,-0.8183988770684727,0.3327411127003895,0.34294243289943527
16-17,1,192,0.036458333333333336,0.036458333333333336,0.036458333333333336,10.0,0.7586206896551724,-0.350297942288304,0.3608547696277517,0.32599481490697485
17-24,-1,7850,0.47286624203821653,0.642547770700637,0.7898089171974523,28.0,0.613031233998976,0.11969654502758593,1.8974819937350316,1.9558305809821661
17-24,1,7851,0.44198191313208507,0.6159724875811998,0.7707298433320596,31.0,0.6322133880482175,0.05672641457298562,1.9588570064217747,1.9018204873223614
