level,side,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
1.0,-1,36901,0.5809056665131026,0.7177583263326197,0.8272133546516355,17.0,0.45478518844083066,0.07794358716402598,1.4666333068596278,1.5388140595090816
1.0,1,37558,0.545822461259918,0.6759678364130145,0.7886202673198786,18.0,0.47534436384383405,0.03631552012485494,1.4564810669378006,1.4118289974469733
1.5,-1,32315,0.42840786012687604,0.5949868482129043,0.7432771158904533,30.0,0.5382057696570506,0.12854937610882164,1.375121625882414,1.5019194766642652
1.5,1,33710,0.39038860872144765,0.5461880747552655,0.6980421239988134,33.0,0.5662143909626719,0.057719197905370445,1.373099760364071,1.3405919523269496
2.0,-1,22295,0.31890558421170667,0.48764296927562234,0.6625700829782463,43.0,0.6133766836971667,0.13020756062080985,1.3869781240348864,1.4741968665074006
2.0,1,22969,0.29391788932909574,0.4542209064391136,0.6299360006965911,46.0,0.6306458228886559,0.08129877435386032,1.35933372364882,1.3510031873941641
2.5,-1,11205,0.24364123159303883,0.40954930834448905,0.5991967871485944,54.0,0.6705325663388384,0.12391215390453529,1.4662162968398507,1.5008371372490976
2.5,1,11387,0.24791428822341266,0.4067796610169492,0.5991042416791078,54.0,0.66617484323128,0.1392925535701905,1.4125056508483709,1.4491072740469704
3.0,-1,4204,0.20623215984776402,0.3610846812559467,0.5566127497621313,61.0,0.7135338345864661,0.11674655645945836,1.5793363047404603,1.5636962477438041
3.0,1,4332,0.23107109879963064,0.3808864265927978,0.5680978762696214,57.0,0.7072815533980582,0.13211549226130273,1.5543630113451585,1.567709924952763
