level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
1.5,2.0,120,"(420, 570)",vwap,3096,0.3960375270682177,1.214029879249342,1.5378669460655465,-0.2339624729317823,9,10,0.6411498708010336,-136.00752634656828,0.10231518357433049
1.5,2.0,120,"(420, 570)",l1,4736,0.12857120316176462,1.1684140454190997,1.1132414915905346,-0.5014287968382354,7,10,0.7345861486486487,-170.05748071800735,0.10568165361037078
1.5,2.0,120,"(450, 570)",vwap,2668,0.4418913118681874,1.2342905518117144,1.575444359922763,-0.18810868813181258,10,10,0.6491754122938531,-126.83451272019511,0.11633239392661715
1.5,2.0,120,"(450, 570)",l1,4033,0.15937349545552498,1.214361964124409,1.3112625628197794,-0.470626504544475,9,10,0.7359285891395984,-123.7322174986466,0.09672784963780999
1.5,2.0,120,"(480, 570)",vwap,2248,0.48955559844789376,1.2577914572947364,1.6724938131709495,-0.14044440155210625,10,10,0.6570284697508897,-115.09124353564084,0.11306128420483592
1.5,2.0,120,"(480, 570)",l1,3285,0.16701710823425525,1.2264968296381573,1.2915636925363296,-0.46298289176574475,10,10,0.7324200913242009,-107.10206822687564,0.11210953296436159
1.5,2.0,180,"(420, 570)",vwap,3086,0.39479968899678086,1.2081765679928222,1.4911871286893572,-0.23520031100321914,9,10,0.6471160077770577,-136.00752634656828,0.10296856402916273
1.5,2.0,180,"(420, 570)",l1,4735,0.1264256896182187,1.1651827323121007,1.0899592625746537,-0.5035743103817814,7,10,0.7345300950369588,-170.05748071800735,0.10749782746535937
1.5,2.0,180,"(450, 570)",vwap,2668,0.434220081330365,1.226932435898657,1.5211954461238535,-0.195779918669635,10,10,0.6525487256371814,-132.96488066208894,0.11838760199090957
1.5,2.0,180,"(450, 570)",l1,4033,0.15811157359871938,1.2123042940771493,1.2966142970534507,-0.4718884264012806,9,10,0.7359285891395984,-128.82154834714356,0.09749985503147938
1.5,2.0,180,"(480, 570)",vwap,2248,0.4732755416585608,1.2463845498170354,1.590096460037081,-0.15672445834143922,10,10,0.6588078291814946,-118.05017670015786,0.11695044382859182
1.5,2.0,180,"(480, 570)",l1,3285,0.16546784465784828,1.2239253599365627,1.2745470916261794,-0.46453215534215175,10,10,0.7324200913242009,-107.10206822687564,0.11315920649065213
1.5,2.0,240,"(420, 570)",vwap,3086,0.3851435034588104,1.2018194708236007,1.446039274029472,-0.24485649654118963,9,10,0.6474400518470512,-136.00752634656828,0.10555015647435453
1.5,2.0,240,"(420, 570)",l1,4735,0.1264256896182187,1.1651827323121007,1.0899592625746537,-0.5035743103817814,7,10,0.7345300950369588,-170.05748071800735,0.10749782746535937
1.5,2.0,240,"(450, 570)",vwap,2668,0.42690951075375655,1.222168145143345,1.4884692204731935,-0.20309048924624346,10,10,0.6525487256371814,-133.32713613187343,0.12041491901699757
1.5,2.0,240,"(450, 570)",l1,4033,0.15811157359871938,1.2123042940771493,1.2966142970534507,-0.4718884264012806,9,10,0.7359285891395984,-128.82154834714356,0.09749985503147938
1.5,2.0,240,"(480, 570)",vwap,2248,0.4690763731047369,1.2435432187556104,1.5692935788879938,-0.16092362689526313,10,10,0.6588078291814946,-118.41243216994235,0.1179973834193248
1.5,2.0,240,"(480, 570)",l1,3285,0.16546784465784828,1.2239253599365627,1.2745470916261794,-0.46453215534215175,10,10,0.7324200913242009,-107.10206822687564,0.11315920649065213
1.5,2.5,120,"(420, 570)",vwap,3014,0.5248114879561468,1.2881961907870432,1.8747241563475558,-0.10518851204385316,9,10,0.6937624419376244,-173.79349019063375,0.07931052027104067
1.5,2.5,120,"(420, 570)",l1,4713,0.17201649086268014,1.2372902789358347,1.4209707891295935,-0.4579835091373199,9,10,0.7409293443666455,-128.7946489855874,0.07937568354940959
1.5,2.5,120,"(450, 570)",vwap,2612,0.5922252878763703,1.3213155669743821,1.946594080736298,-0.037774712123629706,10,10,0.7055895865237366,-148.6796978648208,0.08866287976311907
1.5,2.5,120,"(450, 570)",l1,4018,0.20496851713377376,1.2914870706959325,1.6199489002568885,-0.4250314828662263,9,10,0.7421602787456446,-108.79164581298755,0.07549162282104792
1.5,2.5,120,"(480, 570)",vwap,2212,0.6215572171539053,1.3305039179823148,1.9374877159286175,-0.008442782846094676,10,10,0.7147377938517179,-136.03892801143547,0.0907555809614502
1.5,2.5,120,"(480, 570)",l1,3275,0.20956979660021938,1.2992570391655047,1.5512064623387685,-0.42043020339978066,10,10,0.7389312977099237,-93.61859611077443,0.08961874977307653
1.5,2.5,180,"(420, 570)",vwap,3003,0.5315169941911939,1.2842051166795276,1.838755317062124,-0.09848300580880609,9,10,0.7052947052947053,-158.75286146423014,0.0785968051376348
1.5,2.5,180,"(420, 570)",l1,4712,0.1706467655874152,1.2350215796889499,1.4057210397791933,-0.4593532344125848,9,10,0.740874363327674,-128.7946489855874,0.08002978661433034
