level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
1.5,2.0,120,"(420, 570)",vwap,3053,0.15536188335559012,1.1337783389872493,0.9725706549773961,-0.39663811664440995,9,10,0.6236488699639698,-178.59588425522907,0.19591069652694393
1.5,2.0,120,"(420, 570)",l1,4852,0.10648916581876351,1.244788076541648,1.5503720011516426,-0.44551083418123655,10,10,0.7260923330585326,-86.75683804035612,0.09757521648726195
1.5,2.0,120,"(450, 570)",vwap,2639,0.19653271366317762,1.1675590211394427,1.1313778875727623,-0.35546728633682245,8,10,0.6316786661614248,-131.26271671016502,0.17916583141671197
1.5,2.0,120,"(450, 570)",l1,4095,0.11956800748521104,1.2820766882210495,1.674743404435289,-0.43243199251478903,10,10,0.7262515262515262,-74.22384933811213,0.10296671146164678
1.5,2.0,120,"(480, 570)",vwap,2217,0.17661307567086687,1.1450159385009318,0.9487749914292657,-0.3753869243291332,9,10,0.6310329273793415,-90.69427374476231,0.23732357585982408
1.5,2.0,120,"(480, 570)",l1,3323,0.12189004164087695,1.289404039123406,1.6179531844360642,-0.4301099583591231,10,10,0.7234426722840807,-52.50869500775093,0.12447071205945955
1.5,2.0,180,"(420, 570)",vwap,3044,0.15378046068463977,1.1271031706367451,0.9195098185435066,-0.39821953931536025,9,10,0.6327201051248358,-160.21963466810348,0.22614160469172476
1.5,2.0,180,"(420, 570)",l1,4851,0.10710127570156903,1.2465250021699277,1.5593859682332925,-0.444898724298431,10,10,0.7262420119562977,-85.18473058752897,0.0970375498486412
1.5,2.0,180,"(450, 570)",vwap,2639,0.2123131543604292,1.1784274127388379,1.189496295963705,-0.33968684563957086,9,10,0.6415308829101932,-101.13149101996112,0.1889339404113092
1.5,2.0,180,"(450, 570)",l1,4095,0.11979780930420748,1.2826756911283528,1.6776396369934885,-0.4322021906957926,10,10,0.7264957264957265,-76.01441848548802,0.10276919584990567
1.5,2.0,180,"(480, 570)",vwap,2217,0.18299200853641293,1.1481599451276137,0.9576428158149767,-0.3690079914635871,9,10,0.6373477672530447,-82.95145844528429,0.26093266995120096
1.5,2.0,180,"(480, 570)",l1,3323,0.1216793886165014,1.2887594604566663,1.6148895061623134,-0.43032061138349864,10,10,0.7234426722840807,-52.50869500775093,0.12468619746121608
