level,stop_sigma,time_stop,expectancy_pts,neigh_mean,neigh_pos_share,n_trades
1.5,1.0,120,-0.350604020646122,-0.31210804087775834,0.0,3434
1.5,1.0,120,-0.35655807403729084,-0.31210804087775834,0.0,2927
1.5,1.0,120,-0.35583354864382644,-0.31210804087775834,0.0,2439
1.5,1.0,180,-0.3496657344925768,-0.3132559944544304,0.0,3431
1.5,1.0,180,-0.357302594733534,-0.3132559944544304,0.0,2927
1.5,1.0,180,-0.3586215765241053,-0.3132559944544304,0.0,2439
1.5,1.0,240,-0.34981146460041723,-0.30289116951949957,0.0,3431
1.5,1.0,240,-0.3574050887547161,-0.30289116951949957,0.0,2927
1.5,1.0,240,-0.3587445777541177,-0.30289116951949957,0.0,2439
1.5,1.5,120,-0.27900378241989177,-0.26747576523689165,0.0,3218
1.5,1.5,120,-0.27515999089200915,-0.26747576523689165,0.0,2756
1.5,1.5,120,-0.2721183608547076,-0.26747576523689165,0.0,2318
1.5,1.5,180,-0.28385239700435255,-0.2602536900345823,0.0,3211
1.5,1.5,180,-0.26606897096989895,-0.2602536900345823,0.0,2756
1.5,1.5,180,-0.26407245123171197,-0.2602536900345823,0.0,2318
1.5,1.5,240,-0.28442018591181806,-0.259057520166383,0.0,3211
1.5,1.5,240,-0.27026395361669137,-0.259057520166383,0.0,2756
1.5,1.5,240,-0.26352090154075325,-0.259057520166383,0.0,2318
1.5,2.0,120,-0.23396247293178224,-0.20467255264593306,0.0,3096
1.5,2.0,120,-0.18810868813181247,-0.20467255264593306,0.0,2668
1.5,2.0,120,-0.14044440155210614,-0.20467255264593306,0.0,2248
1.5,2.0,180,-0.23520031100321911,-0.2000873270783018,0.0,3086
1.5,2.0,180,-0.19577991866963487,-0.2000873270783018,0.0,2668
1.5,2.0,180,-0.1567244583414391,-0.2000873270783018,0.0,2248
1.5,2.0,240,-0.24485649654118954,-0.18947230804045825,0.0,3086
1.5,2.0,240,-0.20309048924624332,-0.18947230804045825,0.0,2668
1.5,2.0,240,-0.16092362689526302,-0.18947230804045825,0.0,2248
2.0,1.0,120,-0.3076546057208065,-0.2727034894332443,0.0,2414
2.0,1.0,120,-0.3238621279577428,-0.2727034894332443,0.0,2094
2.0,1.0,120,-0.21281209006127794,-0.2727034894332443,0.0,1758
2.0,1.0,180,-0.26875609556683006,-0.26451230445555074,0.0,2412
2.0,1.0,180,-0.2940072099434521,-0.26451230445555074,0.0,2094
2.0,1.0,180,-0.203087535683725,-0.26451230445555074,0.0,1758
2.0,1.0,240,-0.2745875881541039,-0.2522399513797755,0.0,2412
2.0,1.0,240,-0.30072428736489637,-0.2522399513797755,0.0,2094
2.0,1.0,240,-0.21324997033702658,-0.2522399513797755,0.0,1758
2.0,1.5,120,-0.20148417036530997,-0.19619630619642403,0.0,2222
2.0,1.5,120,-0.18208413691099798,-0.19619630619642403,0.0,1933
2.0,1.5,120,-0.019379636622450493,-0.19619630619642403,0.0,1634
2.0,1.5,180,-0.15297843634540598,-0.18548048706365727,0.0,2220
2.0,1.5,180,-0.14010501581859897,-0.18548048706365727,0.0,1933
2.0,1.5,180,0.005124782593767866,-0.18548048706365727,0.0,1634
2.0,1.5,240,-0.15770972251957255,-0.1810280030781014,0.0,2220
2.0,1.5,240,-0.14564045296293396,-0.1810280030781014,0.0,1933
