n,total_pts,expectancy_pts,median_pts,win_rate,avg_win,avg_loss,payoff,profit_factor,skew,kurtosis,worst,best,t_stat,sharpe_d,sortino_d,max_dd_pts,avg_dd_pts,longest_dd_days,recovery_factor,longest_losing_streak,share_top5,share_top1pct,pnl_wo_top10,level,stop_sigma,time_stop,window
3434,-1203.974206898783,-0.350604020646122,-1.5883729652086958,0.4507862550960978,3.272099159968088,-3.324063471118443,0.9843672325748729,0.807953592802706,0.663754496528364,2.981922366444725,-17.749904732393478,32.26681723062904,-5.0883065588145255,-1.8109794689251861,-3.011025587035666,-1211.5894290321412,-688.3716113874265,2000,-0.9937146842396696,15,,,-1410.3775397501179,1.5,1.0,120,"(420, 570)"
2927,-1043.6454827071502,-0.35655807403729084,-1.6045331669446385,0.4530235736248719,3.348161114935151,-3.4249263717121554,0.9775863045083131,0.8096686069819007,0.7883723700726314,4.034609016991142,-17.749904732393478,32.99140946712452,-4.61280750065775,-1.6679915737333846,-2.893489157235887,-1074.0201675861363,-596.129590116359,1851,-0.9717187015703328,11,,,-1263.4055496996107,1.5,1.0,120,"(450, 570)"
2439,-867.8780251422927,-0.35583354864382644,-1.6045331669446385,0.45469454694546946,3.3996796493275925,-3.487310343042551,0.9748715528316003,0.812881618112966,0.6772489254379913,3.2098273362828627,-19.39756430530213,32.26681723062904,-4.125773536491892,-1.6091868177994613,-2.8404550123818955,-878.4471996803046,-511.5812492883879,1671,-0.9879683439803012,15,,,-1070.0622917570383,1.5,1.0,120,"(480, 570)"
3431,-1199.7031350440311,-0.3496657344925768,-1.5979990162940156,0.4520547945205479,3.3071400888672597,-3.366530538764442,0.9823585589932063,0.8104458111693952,0.6077796806586211,2.914341363032849,-18.856576238801498,32.26681723062904,-5.010241644188193,-1.7823666427939935,-2.949100595271567,-1213.9513516900042,-691.2138348843176,2000,-0.9882629426408845,15,,,-1406.1064678953655,1.5,1.0,180,"(420, 570)"
2927,-1045.824694785054,-0.357302594733534,-1.5888014970677249,0.4537068670994192,3.359713176088323,-3.4443550923266715,0.9754259029718181,0.8101098181029233,0.7359598221070853,4.025547437316241,-18.856576238801498,32.99140946712452,-4.5907943483606095,-1.6590191146274245,-2.8378655293540334,-1066.5349587435808,-593.4553863846882,1851,-0.9805817298450985,11,,,-1265.5847617775134,1.5,1.0,180,"(450, 570)"
2439,-874.6780251422929,-0.3586215765241053,-1.6045331669446385,0.45469454694546946,3.3996796493275925,-3.4924231249974382,0.9734443759102317,0.8116915886349225,0.6636306281927076,3.2166211814141326,-19.39756430530213,32.26681723062904,-4.151466049919743,-1.6175516728929775,-2.82987044554777,-885.2471996803048,-513.8524317007469,1671,-0.9880607647876909,15,,,-1076.8622917570385,1.5,1.0,180,"(480, 570)"
3431,-1200.2031350440316,-0.34981146460041723,-1.5979990162940156,0.4520547945205479,3.3071400888672597,-3.366796496211251,0.9822809583498366,0.8103817906386153,0.606906725219679,2.916410500591739,-18.856576238801498,32.26681723062904,-5.0119166225182505,-1.782826619852322,-2.9485025405001184,-1214.4513516900047,-691.3691348843178,2000,-0.9882677748877023,15,,,-1406.6064678953655,1.5,1.0,240,"(420, 570)"
2927,-1046.124694785054,-0.3574050887547161,-1.5888014970677249,0.4537068670994192,3.359713176088323,-3.4445427095874597,0.9753727734996509,0.8100656930628746,0.7349648898733968,4.027328779845612,-18.856576238801498,32.99140946712452,-4.591722991045625,-1.6592234616243733,-2.8365273136578524,-1066.8349587435814,-593.5468026937011,1851,-0.9805871903720513,11,,,-1265.8847617775145,1.5,1.0,240,"(450, 570)"
2439,-874.9780251422931,-0.3587445777541177,-1.6045331669446385,0.45469454694546946,3.3996796493275925,-3.492648688907213,0.9733815084594984,0.8116391675801382,0.6625034629715902,3.2188935289141707,-19.39756430530213,32.26681723062904,-4.152479466489713,-1.6177810457386375,-2.8280739537088957,-885.547199680305,-513.9422712729395,1671,-0.9880648094852124,15,,,-1077.1622917570387,1.5,1.0,240,"(480, 570)"
3218,-897.8341718272118,-0.27900378241989177,0.7169527555483864,0.5565568676196395,3.09159729912564,-4.509379771942,0.6855925771348859,0.8604739352828176,-0.05695194420405914,2.143885232696368,-22.74715274908056,32.26681723062904,-3.3773833158756927,-1.222945664965516,-1.7983574416559702,-916.6041364038985,-517.2143240684893,1984,-0.9795222781228781,7,,,-1104.2375046785476,1.5,1.5,120,"(420, 570)"
