n,total_pts,expectancy_pts,median_pts,win_rate,avg_win,avg_loss,payoff,profit_factor,skew,kurtosis,worst,best,t_stat,sharpe_d,sortino_d,max_dd_pts,avg_dd_pts,longest_dd_days,recovery_factor,longest_losing_streak,share_top5,share_top1pct,pnl_wo_top10,level,stop_sigma,time_stop,window
3401,-1502.709695394682,-0.44184348585553723,-1.0958897401545546,0.4284034107615407,1.8516823338593722,-2.1608080534093563,0.8569397596134276,0.6422640070765248,0.8669007199844417,6.387172344124718,-11.877646243873507,25.770865610384497,-10.200134261201296,-3.633042210411484,-5.5799782667602535,-1519.4433942056708,-853.7877182754789,2016,-0.988986954779083,13,,,-1645.8028271592173,1.5,1.0,120,"(420, 570)"
2908,-1275.1204324369796,-0.4384870813057014,-1.1084576846575165,0.4312242090784044,1.9078266578931034,-2.2173730722097527,0.8603994888383096,0.6523222243066749,0.86657410147688,6.1825234465378,-11.877646243873507,25.770865610384497,-9.11863757383161,-3.3588500016477294,-5.507891751541273,-1299.4977303301457,-721.217103010974,1872,-0.981240984632592,13,,,-1411.3341574034832,1.5,1.0,120,"(450, 570)"
2419,-1150.8734345304165,-0.4757641316785517,-1.1791461734772857,0.42579578338156265,1.9411402785184078,-2.267997063646059,0.8558830651208197,0.6346721073250139,0.9762658070581325,6.66546558025915,-11.877646243873507,25.770865610384497,-8.81986478283312,-3.406433050371544,-5.907576248938555,-1175.9010346708897,-638.538013843895,1705,-0.9787162359734928,12,,,-1286.1940138256507,1.5,1.0,120,"(480, 570)"
3398,-1513.8686591933467,-0.44551755714930746,-1.1350396058555607,0.4299587992937022,1.897980032889939,-2.2131220894401387,0.857602950124671,0.6468548839092124,1.217142538930365,10.943379174825054,-11.877646243873507,31.0823032457105,-9.95220033879932,-3.5433142147034538,-5.633100561007158,-1535.5411605933782,-851.0757714386502,2016,-0.9858860824077978,13,,,-1670.8960942035933,1.5,1.0,180,"(420, 570)"
2908,-1286.4353920982269,-0.44237805780544254,-1.1308636805100396,0.4312242090784044,1.9369665082811376,-2.2463067675228374,0.8622893971054402,0.6537550809977158,1.2565083618316333,11.329621633148893,-11.877646243873507,31.0823032457105,-8.963010273758506,-3.301274671681163,-5.543511956373626,-1314.3409325018642,-729.2971021738147,1872,-0.9787684156267357,13,,,-1435.5834203104423,1.5,1.0,180,"(450, 570)"
2419,-1132.455270012973,-0.468150173630828,-1.1871816175088061,0.42827614716825135,1.9598012895808947,-2.2869193102088063,0.8569612757355902,0.6419464075647661,1.4109494697963527,12.437077819852712,-11.877646243873507,31.0823032457105,-8.471044382828598,-3.2703129899402796,-5.788804755545257,-1157.4828701534482,-631.6931660490403,1705,-0.9783775632574649,12,,,-1280.7101525539183,1.5,1.0,180,"(480, 570)"
3398,-1538.8901603287854,-0.45288115371653487,-1.137010240812494,0.4287816362566215,1.8988556794500426,-2.2181982922655834,0.8560351371971455,0.6425776377621026,1.197734372253603,10.882462809123803,-11.877646243873507,31.0823032457105,-10.11597930232018,-3.6034257431995553,-5.718938600438868,-1560.562661728816,-858.8721554426,2016,-0.9861123798924932,13,,,-1693.967815331658,1.5,1.0,240,"(420, 570)"
2908,-1298.8189033317306,-0.44663648670279593,-1.1355748842655449,0.4298486932599725,1.9407712011076372,-2.246551812253484,0.8638889121194482,0.6513034620924669,1.2582676444092609,11.315228909706953,-11.877646243873507,31.0823032457105,-9.045487727014082,-3.332743311348801,-5.60142836938333,-1326.7244437353677,-732.8088184455119,1872,-0.978966589079281,13,,,-1447.9669315439446,1.5,1.0,240,"(450, 570)"
2419,-1141.155270012973,-0.47174670112152667,-1.1880392945650802,0.4266225713104589,1.9644981938040764,-2.2844393698765533,0.8599476176556325,0.6398456679312278,1.4140287297036247,12.441360359594972,-11.877646243873507,31.0823032457105,-8.535597513251005,-3.296244335211041,-5.8362004261546785,-1166.1828701534464,-633.8407041498608,1705,-0.9785388717490184,12,,,-1289.4101525539181,1.5,1.0,240,"(480, 570)"
3186,-1376.24629301546,-0.4319668214110044,0.14800000000004543,0.5191462649089768,1.7661399282871173,-2.805118625589002,0.6296132763070844,0.6797521925665259,-0.04332156014644874,4.834490799991343,-17.435432162365693,25.770865610384497,-8.245270450361426,-3.005034337520393,-4.098636186688506,-1400.320354703171,-777.7110840457923,2016,-0.982808175567207,11,,,-1521.1586035636712,1.5,1.5,120,"(420, 570)"
