year,trades,pnl_pts,expectancy,win_rate,PF,sharpe,max_dd,net_exp
2005,128,74.08697706728162,0.5788045083381377,0.71875,1.740401943460731,4.578657998445913,-13.944125298535027,-0.051195491661862325
2006,110,-0.2758437376162419,-0.0025076703419658355,0.6272727272727273,0.9980660849433888,-0.013474592273154822,-23.07836635576632,-0.6325076703419659
2007,95,79.52406170923155,0.8370953864129637,0.7052631578947368,1.6453953065192959,3.4035973114149978,-14.395795561043315,0.20709538641296366
2008,75,234.74054143241096,3.1298738857654795,0.8,3.2248686367985524,7.832733184982164,-17.534622946859827,2.4998738857654796
2009,54,102.93537094732687,1.9062105730986458,0.7592592592592593,2.282881811537053,6.386560865126545,-16.691515737706595,1.2762105730986457
2010,58,60.5308202697106,1.0436348322363898,0.7068965517241379,1.5343387529071604,2.918757722015518,-51.33531495265561,0.41363483223638975
2011,49,107.52227338130615,2.1943321098225743,0.7551020408163265,2.009389664635924,5.220572891237924,-20.539062358927822,1.5643321098225744
2012,65,66.8452757019877,1.028388856953657,0.6615384615384615,1.4692864724271868,2.776192299099335,-35.778900944636916,0.398388856953657
2013,70,5.976465718229065,0.08537808168898664,0.5714285714285714,1.0389226583586169,0.2985498631097449,-34.70403624641449,-0.5446219183110134
2014,77,17.492057041066346,0.2271695719619006,0.5844155844155844,1.0822010424869863,0.5799840062314628,-66.03408106230108,-0.40283042803809943
