scenario,instr,net_exp_TRAIN,net_exp_VAL,n
base,NQ,0.33398879031852907,0.15338693261958863,1000
base,MNQ,-0.056011209681470754,-0.2366130673804112,1000
stress1,NQ,0.08398879031852914,-0.09661306738041149,1000
stress1,MNQ,-0.3060112096814708,-0.48661306738041155,1000
stress15,NQ,0.018988790318528733,-0.16161306738041173,1000
stress15,MNQ,-0.5660112096814713,-0.7466130673804117,1000
stress2,NQ,-0.2960112096814708,-0.4766130673804112,1000
stress2,MNQ,-1.0760112096814707,-1.2566130673804117,1000
slip+1t,NQ,-0.14180566928928917,-0.36655447363141375,1004
slip+2t,NQ,-0.6884852039148283,-0.8540937004063339,1012
