param,factor,snapped_level,gross_exp_TRAIN,sharpe_TRAIN,n
level,0.8,1.5,0.5901360138237037,1.898664468718612,2610
stop,0.8,2.0,0.6284019667761508,2.0155674896998996,1836
ts,0.8,2.0,0.6490709820567578,1.910128677806744,1789
level,0.9,2.0,0.6734092505477515,1.9656062140268933,1789
stop,0.9,2.0,0.6611777583046407,2.0107492705717176,1802
ts,0.9,2.0,0.6668913504427468,1.9524330470978062,1789
level,0.95,2.0,0.6734092505477515,1.9656062140268933,1789
stop,0.95,2.0,0.64452563234214,1.9211930094745715,1795
ts,0.95,2.0,0.6697977159841981,1.955124166686152,1789
level,1.0,2.0,0.6734092505477515,1.9656062140268933,1789
stop,1.0,2.0,0.6734092505477515,1.9656062140268933,1789
ts,1.0,2.0,0.6734092505477515,1.9656062140268933,1789
level,1.05,2.0,0.6734092505477515,1.9656062140268933,1789
stop,1.05,2.0,0.6584039465117647,1.869149739017118,1781
ts,1.05,2.0,0.6639953849844864,1.9342428294652025,1789
level,1.1,2.0,0.6734092505477515,1.9656062140268933,1789
stop,1.1,2.0,0.6605815131468833,1.8535581405901753,1770
ts,1.1,2.0,0.6585174643584384,1.9174155434388336,1789
level,1.2,2.5,0.7271653283358115,1.9147978681782205,1014
stop,1.2,2.0,0.6979813920292922,1.907113575522242,1758
ts,1.2,2.0,0.6610887332237262,1.9264136343393718,1789
