test_year,chosen,train_sharpe,oos_exp,oos_n,oos_sharpe,fixed_exp,fixed_sharpe
2009,"(2.5, 3.0, 240)",3.3363505001729092,0.47679628421986886,66,1.0594034751308459,1.0588577232118004,2.940847652591972
2010,"(2.0, 2.0, 180)",3.024753535156044,-0.03980465953642649,168,-0.1189086410597335,0.25861149478715206,0.7077931318088295
2011,"(2.5, 3.0, 120)",2.694559571023651,0.9674795859024303,57,1.707587518990662,1.1459897776682595,2.37275443184035
2012,"(2.5, 3.0, 120)",2.5364998834002184,0.5590107698309579,109,1.1824666800598642,0.19183327175892914,0.4262378996038708
2013,"(2.5, 3.0, 120)",2.2828489868109267,0.10860030098397509,113,0.31555293023036696,0.37509530451382034,1.2138604068734573
2014,"(2.5, 2.5, 240)",2.072906094101403,0.633092031074696,117,1.2768525847288095,1.1884897797544036,2.6427248267184598
2015,"(1.5, 3.0, 120)",2.185234240183009,1.8579009777421733,210,2.835546902171338,1.8773506657276096,2.821016196316643
2016,"(1.5, 3.0, 120)",2.222681267913124,0.869810966059204,173,1.377045553288788,0.9277144458101958,1.1701710193006314
2017,"(1.5, 3.0, 120)",2.1148547177546364,-1.3324958830099967,186,-2.4034304458787723,-1.7529931113205546,-3.0421836855733906
2018,"(1.5, 3.0, 120)",1.716444657333953,0.6931805848828076,167,0.5146006877611145,-2.642524109749782,-1.699466592039014
