scenario,instr,net_exp_TRAIN,net_exp_VAL,n
base,ES,-0.02699464239278036,-0.26490250789472103,1068
base,MES,-0.18299464239278057,-0.42090250789472133,1068
stress1,ES,-0.2769946423927804,-0.5149025078947209,1068
stress1,MES,-0.43299464239278057,-0.6709025078947214,1068
stress15,ES,-0.30299464239278073,-0.5409025078947215,1068
stress15,MES,-0.5369946423927803,-0.7749025078947208,1068
stress2,ES,-0.5789946423927803,-0.8169025078947211,1068
stress2,MES,-0.8909946423927807,-1.1289025078947215,1068
slip+1t,ES,-0.5192011816260963,-0.8205111972382142,1070
slip+2t,ES,-1.0732922697016392,-1.2521443821410325,1089
