param,factor,snapped_level,gross_exp_TRAIN,sharpe_TRAIN,n
level,0.8,1.5,0.252818022750814,1.2982616293821199,2573
stop,0.8,2.0,0.17398945843457336,0.8210848481020504,1786
ts,0.8,2.0,0.2724156885479984,1.2459406416153271,1737
level,0.9,2.0,0.24193937360274478,1.0636936967271462,1737
stop,0.9,2.0,0.24359166582229141,1.1115604428144736,1757
ts,0.9,2.0,0.24913185798409887,1.109570742891432,1737
level,0.95,2.0,0.24193937360274478,1.0636936967271462,1737
stop,0.95,2.0,0.22381648612646107,0.994814863058942,1748
ts,0.95,2.0,0.24464165275921682,1.079736194775494,1737
level,1.0,2.0,0.24193937360274478,1.0636936967271462,1737
stop,1.0,2.0,0.24193937360274478,1.0636936967271462,1737
ts,1.0,2.0,0.24193937360274478,1.0636936967271462,1737
level,1.05,2.0,0.24193937360274478,1.0636936967271462,1737
stop,1.05,2.0,0.27385101802755185,1.203763447989551,1731
ts,1.05,2.0,0.23829885595028985,1.0476544469406504,1737
level,1.1,2.0,0.24193937360274478,1.0636936967271462,1737
stop,1.1,2.0,0.2864358479848134,1.2410522793207899,1725
ts,1.1,2.0,0.22209930498983957,0.9651960248665364,1737
level,1.2,2.5,0.4827737479722955,2.001471637198776,1032
stop,1.2,2.0,0.32436484643865837,1.3726021312698404,1715
ts,1.2,2.0,0.21816035353840763,0.9420671929596902,1737
