test_year,chosen,train_sharpe,oos_exp,oos_n,oos_sharpe,fixed_exp,fixed_sharpe
2009,"(2.5, 2.5, 120)",3.3737515946420937,0.3426431333814391,78,1.236170007158085,0.4828812226731998,1.8804143413957874
2010,"(2.5, 2.0, 180)",3.0600062152731917,0.09629488504990165,88,0.4549010612095537,-0.122693891343162,-0.5643753261491271
2011,"(2.5, 2.0, 120)",2.807214894063751,0.030594349059338367,76,0.11270124692660115,-0.33339553640238745,-1.0785914013934013
2012,"(2.5, 3.0, 120)",2.477343561452188,0.5590600293636689,101,2.578952385978376,0.4002412717314821,1.7691112428917388
2013,"(2.5, 3.0, 120)",2.4847473468805488,-0.0006166910827015153,115,-0.003232203771865174,0.2082115320363494,1.2278844503388684
2014,"(2.5, 2.0, 180)",2.228915992337441,0.19518514953035082,125,1.0594357697179466,0.2635479156335729,1.3571064154019636
2015,"(2.5, 3.0, 120)",2.191886180900001,1.6701358178888128,96,4.556156028007941,0.5855576204300957,1.6557841686075374
2016,"(2.5, 3.0, 120)",2.4566191644721096,0.845380535857126,95,2.904904753056911,-0.01598856967209663,-0.049159302432496194
2017,"(2.5, 3.0, 120)",2.497343534520318,-0.11019602723026331,105,-0.5367690988343812,0.054080306139464504,0.29938763546259806
2018,"(2.5, 3.0, 120)",2.290674961771858,0.258167589231502,84,0.5481977854675677,0.305464433144823,0.6446808485111528
